set_no,name,url,theme_group,theme,subtheme,year,piece_cnt,minifig_cnt,inventory_url,minifig_url,store_price,current_price,rating_value,rating_votes,tags,set_type,packaging,notes
75886-1,Ferrari 488 GT3 Scuderia Corsa,/sets/75886-1/Ferrari-488-GT3-Scuderia-Corsa,Licensed,Speed Champions,Ferrari,2018,179,1,/inventories/75886-1,/minifigs/inset-75886-1,"£12.99, $14.99, 14.99€","New: $12, Used: $11",4.0,1review,"Ferrari, Racing Car",Normal,Box,
75887-1,Porsche 919 Hybrid,/sets/75887-1/Porsche-919-Hybrid,Licensed,Speed Champions,Porsche,2018,163,1,/inventories/75887-1,/minifigs/inset-75887-1,"£12.99, $14.99, 14.99€","New: $18, Used: $13",5.0,1review,"Porsche, Racing Car, Traffic Light",Normal,Box,
75888-1,Porsche 911 RSR and 911 Turbo 3.0,/sets/75888-1/Porsche-911-RSR-and-911-Turbo-3-0,Licensed,Speed Champions,Porsche,2018,391,3,/inventories/75888-1,/minifigs/inset-75888-1,"£34.99, $29.99, 39.99€","New: $32, Used: $23",4.3,3,"Porsche, Racing Car, Sports Car",Normal,Box,
75889-1,Ferrari Ultimate Garage,/sets/75889-1/Ferrari-Ultimate-Garage,Licensed,Speed Champions,Ferrari,2018,841,7,/inventories/75889-1,/minifigs/inset-75889-1,"£89.99, $99.99, 99.99€","New: $82, Used: Not known",3.0,1review,"Ferrari, Finish Line, Formula 1, Racing, Racing Car, Sports Car",Normal,Box,
75926-1,Pteranodon Chase,/sets/75926-1/Pteranodon-Chase,Licensed,Jurassic World,Fallen Kingdom,2018,126,2,/inventories/75926-1,/minifigs/inset-75926-1,"£19.99, $19.99, 24.99€","New: $17, Used: Not known",4.0,3,"InGen Tracker, Owen Grady, 4X4, Dinosaur, Jeep, Pteranodon",Normal,Box,
75927-1,Stygimoloch Breakout,/sets/75927-1/Stygimoloch-Breakout,Licensed,Jurassic World,Fallen Kingdom,2018,222,2,/inventories/75927-1,/minifigs/inset-75927-1,"£34.99, $29.99, 39.99€","New: $25, Used: $11",5.0,2,"Dr Henry Wu, InGen Guard, Dinosaur",Normal,Box,
75928-1,Blue's Helicopter Pursuit,/sets/75928-1/Blue-s-Helicopter-Pursuit,Licensed,Jurassic World,Fallen Kingdom,2018,397,3,/inventories/75928-1,/minifigs/inset-75928-1,"£49.99, $39.99, 49.99€","New: $38, Used: Not known",5.0,2,"InGen Guard, Ken Wheatley, Owen Grady, Aircraft, Dinosaur, Helicopter, Propeller Aircraft, Quad Bike, Raptor",Normal,Box,
75929-1,Carnotaurus Gyrosphere Escape,/sets/75929-1/Carnotaurus-Gyrosphere-Escape,Licensed,Jurassic World,Fallen Kingdom,2018,577,3,/inventories/75929-1,/minifigs/inset-75929-1,"£59.99, $79.99, 79.99€","New: $57, Used: Not known",5.0,1review,"Claire Dearing, Franklin Webb, Owen Grady, Brick Built Tree, Dinosaur, Gyrosphere, Trailer, Truck",Normal,Box,
75930-1,Indoraptor Rampage at Lockwood Estate,/sets/75930-1/Indoraptor-Rampage-at-Lockwood-Estate,Licensed,Jurassic World,Fallen Kingdom,2018,1019,6,/inventories/75930-1,/minifigs/inset-75930-1,"£119.99, $129.99, 129.99€","New: $94, Used: $96",2.0,1review,"Claire Dearing, Eli Mills, Gunnar Eversol, Ken Wheatley, Maisie Lockwood, Owen Grady, Bedroom, Dinosaur, Motorcycle, Raptor, Skeletons",Normal,Box,
75931-1,Dilophosaurus Outpost Attack,/sets/75931-1/Dilophosaurus-Outpost-Attack,Licensed,Jurassic World,Fallen Kingdom,2018,289,3,/inventories/75931-1,/minifigs/inset-75931-1,"£44.99, $39.99, 49.99€","New: $36, Used: Not known",4.0,2,"InGen Guard, InGen Tracker, Crane, Dinosaur",Normal,Box,
