set_no,name,url,theme_group,theme,subtheme,year,piece_cnt,minifig_cnt,inventory_url,minifig_url,store_price,current_price,rating_value,rating_votes,tags,set_type,packaging,notes
6754-1,Family Home,/sets/6754-1/Family-Home,Model making,Creator,,2009,976,0,/inventories/6754-1,,"£59.99, $59.99","New: $119, Used: $65",4.9,12,"Award Winning Product, Baseplate, Brick Built Animals, Duck, Fireplace, House, Mini Modular, Multibuild, Sliding Door, Swimming Pool",Normal,Box,
7078-1,King's Battle Chariot,/sets/7078-1/King-s-Battle-Chariot,Historical,Castle,Fantasy Era,2009,103,4,/inventories/7078-1,/minifigs/inset-7078-1,"£13.99, $19.99","New: $51, Used: $33",4.3,13,"Ashlar, Carriage, Crown Knights, Horse, Trolls",Normal,Box,
7079-1,Drawbridge Defense,/sets/7079-1/Drawbridge-Defense,Historical,Castle,Fantasy Era,2009,335,7,/inventories/7079-1,/minifigs/inset-7079-1,"£26.99, $39.99","New: $90, Used: $83",4.7,14,"Ashlar, Castle, Crown Knights, Drawbridge, Horse, Skeletons",Normal,Box,
7097-1,Trolls' Mountain Fortress,/sets/7097-1/Trolls-Mountain-Fortress,Historical,Castle,Fantasy Era,2009,844,10,/inventories/7097-1,/minifigs/inset-7097-1,"£74.99, $99.99","New: $200, Used: $146",4.2,9,"Ashlar, Bigfig, Catapult, Crown Knights, Enclosed Fortress, Evil Lair, Horse, Magic, Trolls",Normal,Box,
7195-1,Ambush In Cairo,/sets/7195-1/Ambush-In-Cairo,Licensed,Indiana Jones,Raiders of the Lost Ark,2009,79,4,/inventories/7195-1,/minifigs/inset-7195-1,"£9.99, $10.99","New: $49, Used: $28",4.7,37,"Cairo Swordsman, Cairo Thug, Indiana Jones, Marion Ravenwood, Carriage, Egypt, Street Vendor",Normal,Box,
7196-1,Chauchilla Cemetery Battle,/sets/7196-1/Chauchilla-Cemetery-Battle,Licensed,Indiana Jones,Kingdom of the Crystal Skull,2009,187,5,/inventories/7196-1,/minifigs/inset-7196-1,"£18.99, $19.99","New: $75, Used: $31",4.1,19,"Cemetery Warrior, Indiana Jones, Mutt Williams, Graveyard, Motorcycle, Skeletons, Spider, Spooky",Normal,Box,
7197-1,Venice Canal Chase,/sets/7197-1/Venice-Canal-Chase,Licensed,Indiana Jones,Last Crusade,2009,420,4,/inventories/7197-1,/minifigs/inset-7197-1,"£29.99, $39.99","New: $70, Used: $41",4.7,15,"Brother of the Cruciform Sword, Elsa Schneider, Indiana Jones, Kazim, Boat, Italy",Normal,Box,
7198-1,Fighter Plane Attack,/sets/7198-1/Fighter-Plane-Attack,Licensed,Indiana Jones,Last Crusade,2009,384,3,/inventories/7198-1,/minifigs/inset-7198-1,"£47.99, $49.99","New: $112, Used: $63",4.3,8,"German Soldier, Henry Jones Sr., Indiana Jones, Aircraft, Biplane, Military, Propeller Aircraft",Normal,Box,
7199-1,The Temple of Doom,/sets/7199-1/The-Temple-of-Doom,Licensed,Indiana Jones,Temple of Doom,2009,652,6,/inventories/7199-1,/minifigs/inset-7199-1,"£74.99, $89.99","New: $234, Used: $115",4.4,12,"Indiana Jones, Mola Ram, Short Round, Temple Guard, Willie Scott, Asia, Cart, Cave, Evil Lair, Mining, Spooky, Temple, Underground",Normal,Box,
7614-1,Elephant Bucket,/sets/7614-1/Elephant-Bucket,Pre-school,Duplo,,2009,,2,,/minifigs/inset-7614-1,,"New: Not known, Used: Not known",,,"Brick Built Tree, Elephant, Tiger",Normal,,
7615-1,Basic Blue Bucket,/sets/7615-1/Basic-Blue-Bucket,Basic,Bricks and More,,2009,465,2,/inventories/7615-1,/minifigs/inset-7615-1,,"New: Not known, Used: Not known",,,"4X4, Brick Built Tree, Car, House",Normal,Bucket,
7616-1,Basic Red Bucket,/sets/7616-1/Basic-Red-Bucket,Basic,Bricks and More,,2009,427,0,/inventories/7616-1,,,"New: Not known, Used: Not known",,,"Brick Built Animals, Brick Built Tree, Car, Dog, Duck, House",Normal,Bucket,
7618-1,Fun Zoo,/sets/7618-1/Fun-Zoo,Pre-school,Duplo,,2009,,1,,/minifigs/inset-7618-1,,"New: Not known, Used: Not known",,,,Normal,,
7630-1,Front-End Loader,/sets/7630-1/Front-End-Loader,Modern day,City,Construction,2009,108,1,/inventories/7630-1,/minifigs/inset-7630-1,"£9.99, $12.99","New: $29, Used: $13",4.5,15,"Construction, Front Loader",Normal,Box,Included in 66328-1 66331-1 
7631-1,Dump Truck,/sets/7631-1/Dump-Truck,Modern day,City,Construction,2009,189,1,/inventories/7631-1,/minifigs/inset-7631-1,"£14.99, $19.99","New: $45, Used: $13",4.5,11,"Construction, Dump Truck, Tipper Truck",Normal,Box,
7632-1,Crawler Crane,/sets/7632-1/Crawler-Crane,Modern day,City,Construction,2009,481,2,/inventories/7632-1,/minifigs/inset-7632-1,"£44.99, $59.99","New: $109, Used: $59",4.4,9,"Construction, Crane, Mobile Crane, Tracked Vehicle",Normal,Box,Included in 66330-1 
7633-1,Construction Site,/sets/7633-1/Construction-Site,Modern day,City,Construction,2009,898,5,/inventories/7633-1,/minifigs/inset-7633-1,"£69.99, $99.99","New: $191, Used: $84",4.8,9,"Articulated Lorry, Cargo, Construction, Crane, Excavator, Mini Modular, Mobile Crane, Shop, Tracked Vehicle, Trailer, Transport Vehicle, Truck",Normal,Box,Included in 66331-1 
7634-1,Tractor,/sets/7634-1/Tractor,Modern day,City,Farm,2009,78,1,/inventories/7634-1,/minifigs/inset-7634-1,"£8.49, $12.99","New: $35, Used: $13",4.8,16,"Farm, Tractor",Normal,Box,Included in 66345-1 66358-1 
7635-1,4WD with Horse Trailer,/sets/7635-1/4WD-with-Horse-Trailer,Modern day,City,Farm,2009,176,2,/inventories/7635-1,/minifigs/inset-7635-1,"£14.99, $17.48","New: $39, Used: $19",4.4,15,"4X4, Range Rover, Trailer",Normal,Box,Included in 66358-1 
7636-1,Combine Harvester,/sets/7636-1/Combine-Harvester,Modern day,City,Farm,2009,360,1,/inventories/7636-1,/minifigs/inset-7636-1,"£34.99, $44.99","New: $170, Used: $71",4.1,9,"Combine Harvester, Farm",Normal,Box,
7637-1,Farm,/sets/7637-1/Farm,Modern day,City,Farm,2009,609,3,/inventories/7637-1,/minifigs/inset-7637-1,"£61.99, $89.99","New: $165, Used: $108",4.3,10,"Baseplate, Cart, Cow, Farm, Front Loader, Lawnmower, Tractor, Trailer",Normal,Box,
7638-1,Tow Truck,/sets/7638-1/Tow-Truck,Modern day,City,Traffic,2009,129,1,/inventories/7638-1,/minifigs/inset-7638-1,"£9.99, $12.99","New: $22, Used: $9",4.2,13,"Service Vehicle, Tow Truck, Truck",Normal,Box,Included in 66326-1 66345-1 
7639-1,Camper,/sets/7639-1/Camper,Modern day,City,Traffic,2009,165,2,/inventories/7639-1,/minifigs/inset-7639-1,"£14.99, $16.99","New: $36, Used: $13",4.7,43,"Bbq, Bicycle, Camper Van, Camping, Fish, Surfing, Tv",Normal,Box,
7641-1,City Corner,/sets/7641-1/City-Corner,Modern day,City,Town,2009,483,5,/inventories/7641-1,/minifigs/inset-7641-1,"£49.99, $59.99","New: $85, Used: $40",4.7,20,"Baseplate, Bicycle, Bus, Camera, Cargo, Kitchen, Lamppost, Mini Modular, Octan, Pizza, Pizzeria, Public Transport, Restaurant, Shop, Skating",Normal,Box,Re-released as 60031-1 
7642-1,Garage,/sets/7642-1/Garage,Modern day,City,Traffic,2009,953,4,/inventories/7642-1,/minifigs/inset-7642-1,"£69.99, $99.99","New: $183, Used: $82",4.4,13,"Baseplate, Coffee Machine, Octan, Pickup Truck, Service Station, Service Vehicle, Tow Truck, Truck, Workshop",Normal,Box,
7643-1,Air-Show Plane,/sets/7643-1/Air-Show-Plane,Modern day,City,Airport,2009,115,2,/inventories/7643-1,/minifigs/inset-7643-1,,"New: $28, Used: $11",4.0,4,"Aircraft, Airline Promo, Airplane, Frozen Treats, Propeller Aircraft, Sports Plane, Street Vendor",Normal,Box,Promotional release with airlines including KLM Royal Dutch Airlines.
7682-1,Shanghai Chase,/sets/7682-1/Shanghai-Chase,Licensed,Indiana Jones,Temple of Doom,2009,244,5,/inventories/7682-1,/minifigs/inset-7682-1,"£26.45, $29.99","New: $110, Used: $55",4.6,31,"Indiana Jones, Shanghai Gangster, Short Round, Willie Scott, Asia, Car, China, Van",Normal,Box,
7683-1,Fight on the Flying Wing,/sets/7683-1/Fight-on-the-Flying-Wing,Licensed,Indiana Jones,Raiders of the Lost Ark,2009,376,4,/inventories/7683-1,/minifigs/inset-7683-1,"£41.09, $49.99","New: $163, Used: $86",4.3,18,"German Mechanic, German Soldier, Indiana Jones, Marion Ravenwood, Aircraft, Egypt, Jet Aircraft, Military, Propeller Aircraft, Tanker Vehicle, Truck",Normal,Box,
7685-1,Dozer,/sets/7685-1/Dozer,Modern day,City,Construction,2009,352,1,/inventories/7685-1,/minifigs/inset-7685-1,"£19.55, $39.99","New: $55, Used: $27",4.3,16,"Bulldozer, Construction, Tracked Vehicle",Normal,Box,
7686-1,Helicopter Transporter,/sets/7686-1/Helicopter-Transporter,Modern day,City,Traffic,2009,377,3,/inventories/7686-1,/minifigs/inset-7686-1,"£19.55, $39.99","New: $66, Used: $21",4.4,7,"Aircraft, Articulated Lorry, Camera, Helicopter, Motorcycle, Octan, Propeller Aircraft, Service Vehicle, Trailer, Transport Vehicle, Truck",Normal,Box,
7687-1,City Advent Calendar,/sets/7687-1/City-Advent-Calendar,Modern day,City,Seasonal,2009,257,9,/inventories/7687-1,/minifigs/inset-7687-1,"£19.55, $29.99","New: $18, Used: $11",4.6,11,"Advent Calendar, Brick Built Tree, Car, Christmas, Christmas Tree, Fireplace, Fountain, Lamppost, Mail, Microscale, Police, Post, Quad Bike, Racing Car, Remote Control, Skating, Sled, Snowman, Street Vendor",Normal,Box,
7746-1,Single-Drum Roller,/sets/7746-1/Single-Drum-Roller,Modern day,City,Construction,2009,208,2,/inventories/7746-1,/minifigs/inset-7746-1,"£24.99, $29.99","New: $51, Used: $31",4.3,7,"Construction, Steam Roller",Normal,Box,Included in 66330-1 
7747-1,Wind Turbine Transport,/sets/7747-1/Wind-Turbine-Transport,Modern day,City,Town,2009,444,2,/inventories/7747-1,/minifigs/inset-7747-1,"£41.99, $59.99","New: $144, Used: $89",4.2,11,"Articulated Lorry, Cargo, Octan, Pickup Truck, Service Vehicle, Trailer, Transport Vehicle, Truck, Windmill",Normal,Box,
7748-1,Corporate Alliance Tank Droid,/sets/7748-1/Corporate-Alliance-Tank-Droid,Licensed,Star Wars,The Clone Wars,2009,216,4,/inventories/7748-1,/minifigs/inset-7748-1,"£24.99, $24.99","New: $42, Used: $22",4.1,37,"Battle Droid, Clone Trooper, Cartoon, Cartoon Network, Droid, Separatists, Tracked Vehicle",Normal,Box,
7749-1,Echo Base,/sets/7749-1/Echo-Base,Licensed,Star Wars,Episode V,2009,155,5,/inventories/7749-1,/minifigs/inset-7749-1,"£24.99, $24.99","New: $42, Used: $24",4.2,57,"Han Solo, Hoth Rebel Trooper, Snowtrooper, Hoth, Rebel Alliance, Tauntaun, The Empire Strikes Back",Normal,Box,Included in 66364-1 66366-1 
7751-1,Ahsoka's Starfighter and Vulture Droid,/sets/7751-1/Ahsoka-s-Starfighter-and-Vulture-Droid,Licensed,Star Wars,The Clone Wars,2009,291,4,/inventories/7751-1,/minifigs/inset-7751-1,"£31.29, $39.99","New: $127, Used: $64",4.2,14,"Ahsoka Tano, Buzz Droid, R7-A7, Cartoon, Cartoon Network, Converts, Delta 7B Aethersprite Class Light Interceptor, Droid, Galactic Republic, Jedi, Separatists, Starfighter",Normal,Box,[US] This set is exclusive to Walmart.
7752-1,Count Dooku's Solar Sailer,/sets/7752-1/Count-Dooku-s-Solar-Sailer,Licensed,Star Wars,The Clone Wars,2009,385,4,/inventories/7752-1,/minifigs/inset-7752-1,"£39.99, $54.99","New: $83, Used: $40",3.9,21,"Count Dooku, FA-4 Pilot Droid, Magnaguard, Droid, Separatists",Normal,Box,This set is exclusive to Toys R Us in the U.S.
7753-1,Pirate Tank,/sets/7753-1/Pirate-Tank,Licensed,Star Wars,The Clone Wars,2009,372,3,/inventories/7753-1,/minifigs/inset-7753-1,"£34.99, $39.99","New: $64, Used: $33",4.4,11,"Hondo Ohnaka, Obi-Wan Kenobi, Turk Falso, Bounty Hunters, Cartoon, Cartoon Network",Normal,Box,This set is exclusive to Target in the U.S.
7754-1,Home One Mon Calamari Star Cruiser,/sets/7754-1/Home-One-Mon-Calamari-Star-Cruiser,Licensed,Star Wars,Episode VI,2009,789,6,/inventories/7754-1,/minifigs/inset-7754-1,"£89.99, $109.99","New: $125, Used: $111",4.6,14,"Admiral Ackbar, Crix Madine, Lando Calrissian, Mon Calamari Officer, Mon Mothma, Rebel Pilot, Awing, Rebel Alliance, Return Of The Jedi, Starfighter",Normal,Box,This set is exclusive to Toys R Us in the U.S.
7778-1,Midi-scale Millennium Falcon,/sets/7778-1/Midi-scale-Millennium-Falcon,Licensed,Star Wars,Episode IV,2009,356,0,/inventories/7778-1,,"£34.99, $39.99","New: $92, Used: $43",4.3,17,"Midiscale, Original Trilogy, Rebel Alliance, Smuggler",Normal,Box,This set is exclusive to Walmart in the U.S.
7800-1,Off Road Racer,/sets/7800-1/Off-Road-Racer,Racing,Racers,Tiny Turbos,2009,28,0,/inventories/7800-1,,,"New: $4, Used: $1",5.0,1review,"Microscale, Polybag, Racing Car",Normal,Polybag,[UK] Given away with The Daily Mirror Promotion Oct/Nov 2009
7801-1,Rally Racer,/sets/7801-1/Rally-Racer,Racing,Racers,Tiny Turbos,2009,42,0,/inventories/7801-1,,,"New: $3, Used: $3",4.0,1review,"Microscale, Polybag, Racing Car",Normal,Polybag,"[UK] Given away with The Daily Mirror Promotion, March 2010"
7802-1,Le Mans Racer,/sets/7802-1/Le-Mans-Racer,Racing,Racers,Tiny Turbos,2009,29,0,/inventories/7802-1,,$2.99,"New: $4, Used: $5",4.0,1review,"Microscale, Polybag, Racing Car",Normal,Polybag,[UK] Given away with The Daily Mirror Promotion March 2010.[US] Sold at Target and Five Below for $2.99
7803-1,Jeep,/sets/7803-1/Jeep,Model making,Creator,,2009,38,0,/inventories/7803-1,,,"New: $3, Used: $1",4.0,3,"Car, Jeep, Microscale, Off Roader, Polybag",Normal,Polybag,[UK] Given away with The Daily Mirror Promotion October/November 2009.Included in 66373-1 
7804-1,Lizard,/sets/7804-1/Lizard,Model making,Creator,,2009,33,0,/inventories/7804-1,,,"New: $4, Used: $2",3.5,2,"Brick Built Animals, Polybag",Normal,Polybag,[UK] Given away with The Daily Mirror Promotion October/November 2009.
7805-1,Shark,/sets/7805-1/Shark,Model making,Creator,,2009,44,0,/inventories/7805-1,,,"New: $6, Used: $3",3.3,3,"Brick Built Animals, Polybag, Shark",Normal,Polybag,[UK] Given away with The Daily Mirror Promotion October/November 2009. Also given away with LEGO purchases from [email protected] in 2010.[US] Given away with LEGO purchases from [email protected] in 2010.
7806-1,Truck,/sets/7806-1/Truck,Model making,Creator,,2009,,0,,,,"New: Not known, Used: Not known",,,"Microscale, Truck, Unreleased",Normal,,LEGO has confirmed that this set was never produced.
7807-1,Airliner,/sets/7807-1/Airliner,Model making,Creator,,2009,,0,,,,"New: Not known, Used: Not known",,,"Aircraft, Jet Aircraft, Microscale, Unreleased",Normal,,LEGO has confirmed that this set was never produced.
7808-1,Yellow Airplane,/sets/7808-1/Yellow-Airplane,Model making,Creator,,2009,34,0,/inventories/7808-1,,,"New: $2, Used: $2",4.0,1review,"Aircraft, Microscale, Polybag, Propeller Aircraft, Sports Plane",Normal,Polybag,[UK] Given away with The Daily Mirror Promotion October 2010.[NL] Available at Gamma stores in the Netherlands with a 50 Euro purchase during October 2011.Included in 66373-1 
8014-1,Clone Walker Battle Pack,/sets/8014-1/Clone-Walker-Battle-Pack,Licensed,Star Wars,The Clone Wars,2009,72,4,/inventories/8014-1,/minifigs/inset-8014-1,"£9.99, $11.99","New: $40, Used: $22",4.6,84,"Clone Trooper Commander, Clone Trooper, Battle Pack, Cartoon, Cartoon Network, Galactic Republic, Walker",Normal,Box,Included in 66341-1 
8015-1,Assassin Droids Battle Pack,/sets/8015-1/Assassin-Droids-Battle-Pack,Licensed,Star Wars,The Clone Wars,2009,94,5,/inventories/8015-1,/minifigs/inset-8015-1,"£9.99, $11.99","New: $16, Used: $7",4.1,35,"Assassin Droid, Battle Pack, Cartoon, Cartoon Network, Droid",Normal,Box,Included in 66341-1 
8016-1,Hyena Droid Bomber,/sets/8016-1/Hyena-Droid-Bomber,Licensed,Star Wars,The Clone Wars,2009,232,3,/inventories/8016-1,/minifigs/inset-8016-1,"£24.99, $19.99","New: $47, Used: $16",4.1,35,"Battle Droid, Cartoon, Cartoon Network, Converts, Droid, Separatists, Starfighter",Normal,Box,
8017-1,Darth Vader's TIE Fighter,/sets/8017-1/Darth-Vader-s-TIE-Fighter,Licensed,Star Wars,Episode IV,2009,251,1,/inventories/8017-1,/minifigs/inset-8017-1,"£34.99, $29.99","New: $113, Used: $36",4.2,49,"Darth Vader, A New Hope, Anniversary Set, Galactic Empire, Original Trilogy, Starfighter",Normal,Box,Included in 66308-1 
8018-1,Armored Assault Tank (AAT),/sets/8018-1/Armored-Assault-Tank-(AAT),Licensed,Star Wars,The Clone Wars,2009,407,7,/inventories/8018-1,/minifigs/inset-8018-1,"£39.99, $49.99","New: $153, Used: $48",4.6,49,"Battle Droid, Clone Trooper, Super Battle Droid, Yoda, Aat, Cartoon, Cartoon Network, Droid, Separatists",Normal,Box,
8019-1,Republic Attack Shuttle,/sets/8019-1/Republic-Attack-Shuttle,Licensed,Star Wars,The Clone Wars,2009,636,3,/inventories/8019-1,/minifigs/inset-8019-1,"£49.99, $59.99","New: $113, Used: $50",4.5,35,"Clone Pilot, Clone Trooper, Mace Windu, Cartoon, Cartoon Network, Galactic Republic, Star Wars Shuttle",Normal,Box,
8033-1,General Grievous' Starfighter,/sets/8033-1/General-Grievous-Starfighter,Licensed,Star Wars,The Clone Wars,2009,44,0,/inventories/8033-1,,$3.99,"New: $6, Used: $3",4.3,7,"Cartoon, Cartoon Network, Microscale, Polybag, Separatists, Starfighter",Normal,Polybag,[UK] Given away with The Daily Mirror Promotion Sep 2009.[US] Target exclusive ($3.99)
8036-1,Separatist Shuttle,/sets/8036-1/Separatist-Shuttle,Licensed,Star Wars,The Clone Wars,2009,259,5,/inventories/8036-1,/minifigs/inset-8036-1,"£34.99, $29.99","New: $46, Used: $31",4.4,26,"Battle Droid Pilot, Battle Droid, Nute Gunray, Onaconda Farr, Cartoon, Cartoon Network, Droid, Separatists, Star Wars Shuttle",Normal,Box,
8037-1,Anakin's Y-wing Starfighter,/sets/8037-1/Anakin-s-Y-wing-Starfighter,Licensed,Star Wars,The Clone Wars,2009,570,3,/inventories/8037-1,/minifigs/inset-8037-1,"£49.99, $59.99","New: $123, Used: $55",4.7,23,"Ahsoka Tano, Anakin Skywalker, R2-D2, Cartoon, Cartoon Network, Droid, Galactic Republic, Starfighter",Normal,Box,
8038-1,The Battle of Endor,/sets/8038-1/The-Battle-of-Endor,Licensed,Star Wars,Episode VI,2009,890,12,/inventories/8038-1,/minifigs/inset-8038-1,"£84.99, $99.99","New: $174, Used: $107",4.8,36,"Chewbacca, Chief Chirpa, Endor Rebel Trooper, Han Solo, Imperial Trooper, Paploo, Princess Leia, R2-D2, Scout Trooper, Wicket W. Warrick, Bunker, Catapult, Droid, Forest, Galactic Empire, Glider, Return Of The Jedi, Walker",Normal,Box,
8039-1,Venator-Class Republic Attack Cruiser,/sets/8039-1/Venator-Class-Republic-Attack-Cruiser,Licensed,Star Wars,The Clone Wars,2009,1170,5,/inventories/8039-1,/minifigs/inset-8039-1,"£102.99, $119.99","New: $305, Used: $170",4.5,21,"Clone Pilot, Clone Trooper, Palpatine, Senate Commando, Cartoon, Cartoon Network, Escape Pod, Galactic Republic, Lifting Handle",Normal,Box,
8063-1,Tractor with Trailer,/sets/8063-1/Tractor-with-Trailer,Technical,Technic,,2009,1100,0,/inventories/8063-1,,"£63.59, $99.99","New: $140, Used: $154",4.2,5,"Farm, Functional Steering, Tractor, Trailer",Normal,Box,
8119-1,Thunder Racer,/sets/8119-1/Thunder-Racer,Racing,Racers,Tiny Turbos,2009,48,0,/inventories/8119-1,,"£3.89, $4.99","New: $11, Used: $4",5.0,2,"Microscale, Racing Car",Normal,Canister,
8120-1,Rally Sprinter,/sets/8120-1/Rally-Sprinter,Racing,Racers,Tiny Turbos,2009,47,0,/inventories/8120-1,,"£3.89, $4.99","New: $6, Used: $3",4.5,2,"Microscale, Racing Car",Normal,Canister,
8121-1,Track Marshall,/sets/8121-1/Track-Marshall,Racing,Racers,Tiny Turbos,2009,48,0,/inventories/8121-1,,"£3.89, $4.99","New: $13, Used: $3",3.5,2,"Microscale, Service Vehicle",Normal,Canister,
8122-1,Desert Viper,/sets/8122-1/Desert-Viper,Racing,Racers,Tiny Turbos,2009,41,0,/inventories/8122-1,,"£3.89, $4.99","New: $11, Used: $1",3.0,1review,"Dune Buggy, Microscale, Racing Car",Normal,Canister,
8123-1,Ferrari F1 Racers,/sets/8123-1/Ferrari-F1-Racers,Racing,Racers,Tiny Turbos,2009,139,0,/inventories/8123-1,,"£9.79, $14.99","New: $30, Used: $9",3.0,2,"Ferrari, Finish Line, Formula 1, Microscale, Pit Stop, Racing, Racing Car, Shell",Normal,Box,
8124-1,Ice Rally,/sets/8124-1/Ice-Rally,Racing,Racers,Tiny Turbos,2009,170,0,/inventories/8124-1,,"£9.79, $14.99","New: $20, Used: $7",5.0,1review,"Microscale, Racing Car",Normal,Box,
8125-1,Thunder Raceway,/sets/8125-1/Thunder-Raceway,Racing,Racers,Tiny Turbos,2009,160,0,/inventories/8125-1,,"£9.79, $14.99","New: $18, Used: $6",,,"Finish Line, Microscale, Racing Car",Normal,Box,
8126-1,Desert Challenge,/sets/8126-1/Desert-Challenge,Racing,Racers,Tiny Turbos,2009,144,0,/inventories/8126-1,,"£9.79, $14.99","New: $16, Used: $8",3.0,1review,"4X4, Dune Buggy, Microscale",Normal,Box,
8162-1,Race Rig,/sets/8162-1/Race-Rig,Racing,Racers,Power Racers,2009,104,0,/inventories/8162-1,,"£7.85, $12.99","New: $22, Used: $4",,,"Pullback Motor, Racing Car, Truck",Normal,Box,
8163-1,Blue Sprinter,/sets/8163-1/Blue-Sprinter,Racing,Racers,Power Racers,2009,110,0,/inventories/8163-1,,"£7.85, $12.99","New: $20, Used: $7",5.0,1review,"Pullback Motor, Racing Car",Normal,Box,
8164-1,Extreme Wheelie,/sets/8164-1/Extreme-Wheelie,Racing,Racers,Power Racers,2009,87,0,/inventories/8164-1,,"£7.85, $12.99","New: $8, Used: $5",4.0,1review,"Pullback Motor, Racing Car",Normal,Box,
8165-1,Monster Jumper,/sets/8165-1/Monster-Jumper,Racing,Racers,Power Racers,2009,91,0,/inventories/8165-1,,"£7.85, $12.99","New: $10, Used: $5",4.0,1review,"4X4, Monster Truck, Pullback Motor, Stunt Ramp",Normal,Box,
8166-1,Wing Jumper,/sets/8166-1/Wing-Jumper,Racing,Racers,Power Racers,2009,203,0,/inventories/8166-1,,"£14.65, $19.99","New: $28, Used: $14",,,Slammer,Normal,Box,
8167-1,Jump Riders,/sets/8167-1/Jump-Riders,Racing,Racers,Power Racers,2009,209,0,/inventories/8167-1,,"£15.65, $19.99","New: $24, Used: $14",,,"Hot Rod, Motorcycle, Multibuild, Racing, Stunt Ramp, Technic",Normal,Box,
8168-1,Ferrari Victory,/sets/8168-1/Ferrari-Victory,Racing,Racers,Ferrari,2009,202,3,/inventories/8168-1,/minifigs/inset-8168-1,"£15.65, $19.99","New: $72, Used: $40",3.5,4,"Felipe Massa, Kimi Raikkonen, 8 Wide Car, Ferrari, Formula 1, Italy, Racing, Racing Car",Normal,Box,
10287-1,Intelligent NXT Brick (Black),/sets/10287-1/Intelligent-NXT-Brick-(Black),Technical,Mindstorms,NXT,2009,1,0,,,"£107.65, $169.99","New: $99, Used: $230",,,,Normal,,
