set_no,name,url,theme_group,theme,subtheme,year,piece_cnt,minifig_cnt,inventory_url,minifig_url,store_price,current_price,rating_value,rating_votes,tags,set_type,packaging,notes
6243-1,Brickbeard's Bounty,/sets/6243-1/Brickbeard-s-Bounty,Historical,Pirates,,2009,592,8,/inventories/6243-1,/minifigs/inset-6243-1,"£59.99, $99.99","New: $215, Used: $133",4.5,21,"Captain Brickbeard, Galleon, Monkey, Parrot, Rowing Boat, Shark, Ship",Normal,Box,
6253-1,Shipwreck Hideout,/sets/6253-1/Shipwreck-Hideout,Historical,Pirates,,2009,310,6,/inventories/6253-1,/minifigs/inset-6253-1,"£26.45, $39.99","New: $98, Used: $63",4.8,19,"Captain Brickbeard, Crab, Criminal Hideout, Fish, Jungle Bridge, Parrot, Rowing Boat, Shipwreck, Skeletons, Snake",Normal,Box,
6299-1,Pirates Advent Calendar,/sets/6299-1/Pirates-Advent-Calendar,Historical,Pirates,Seasonal,2009,148,8,/inventories/6299-1,/minifigs/inset-6299-1,£15.79," New: $49, Used: $35",5.0,5,"Captain Brickbeard, Advent Calendar, Christmas, Fish, Monkey, Raft, Sawfish, Skeletons",Normal,Box,
6741-1,Mini Jet,/sets/6741-1/Mini-Jet,Model making,Creator,,2009,63,0,/inventories/6741-1,,"£4.99, $5.99","New: $8, Used: $3",4.4,8,"Aircraft, Jet Aircraft, Microscale, Multibuild, Space, Space Shuttle, Speedboat",Normal,Canister,
6742-1,Mini Off-Roader,/sets/6742-1/Mini-Off-Roader,Model making,Creator,,2009,64,0,/inventories/6742-1,,"£4.99, $5.99","New: $9, Used: $4",4.3,6,"Microscale, Multibuild, Off Roader, Telehandler, Tractor",Normal,Canister,
6743-1,Street Speeder,/sets/6743-1/Street-Speeder,Model making,Creator,,2009,165,0,/inventories/6743-1,,"£9.99, $12.99","New: $17, Used: $4",4.1,8,"8 Wide Car, Car, Formula 1, Multibuild, Off Roader, Sports Car",Normal,Box,Included in 66385-1 
6745-1,Propeller Power,/sets/6745-1/Propeller-Power,Model making,Creator,,2009,247,0,/inventories/6745-1,,"£18.99, $19.99","New: $28, Used: $9",4.3,6,"Helicopter, Multibuild, Propeller Aircraft, Sports Plane",Normal,Box,
6747-1,Race Rider,/sets/6747-1/Race-Rider,Model making,Creator,,2009,266,0,/inventories/6747-1,,"£15.99, $19.99","New: $31, Used: $10",5.0,2,"Car, Dragster, Functional Steering, Motorcycle, Multibuild, Racing, Racing Car",Normal,Box,
6751-1,Fiery Legend,/sets/6751-1/Fiery-Legend,Model making,Creator,,2009,479,0,/inventories/6751-1,,"£34.99, $39.99","New: $77, Used: $33",5.0,1review,"Brick Built Animals, Brick Built Figure, Dragon, Light Brick, Multibuild",Normal,Box,
6752-1,Fire Rescue,/sets/6752-1/Fire-Rescue,Model making,Creator,,2009,771,0,/inventories/6752-1,,"£44.99, $59.99","New: $69, Used: $38",4.5,2,"12 Wide Car, 12 Wide Truck, 4X4, Aircraft, Car, Fire, Fire Car, Fire Helicopter, Fire Truck, Helicopter, Multibuild, Off Roader, Propeller Aircraft, Truck",Normal,Box,
6753-1,Highway Transport,/sets/6753-1/Highway-Transport,Model making,Creator,,2009,1294,0,/inventories/6753-1,,"£69.99, $89.99","New: $160, Used: $88",4.8,9,"10 Wide Car, 12 Wide Truck, 8 Wide Car, Articulated Lorry, Car, Coffee Machine, Functional Steering, Mobile Crane, Multibuild, Service Vehicle, Tow Truck, Transport Vehicle, Truck",Normal,Box,
