set_no,name,theme_group,theme,subtheme,year,piece_cnt,minifig_cnt,price_store,price_new,price_used,rating_value,rating_votes
1591-1,Danone Delivery Truck,Modern day,Town,Special,1980.0,40.0,0.0,,129.0,28.0,,
1592-1,Town Square - Castle Scene,Modern day,Town,Classic,1980.0,471.0,11.0,,1168.0,235.0,4.8,4.0
1651-2,Maersk Line Container Lorry,Modern day,Town,Special,1980.0,305.0,1.0,,,444.0,5.0,1.0
6305-1,Trees and Flowers,Modern day,Town,Accessories,1980.0,12.0,0.0,3.75,28.0,10.0,4.3,4.0
6306-1,Road Signs,Modern day,Town,Accessories,1980.0,12.0,0.0,2.5,49.0,13.0,4.0,3.0
6363-1,Auto Repair Shop,Modern day,Town,Shops and Services,1980.0,141.0,1.0,,744.0,30.0,4.6,5.0
6364-1,Paramedic Unit,Modern day,Town,Medical,1980.0,137.0,2.0,,272.0,35.0,5.0,5.0
6375-2,Exxon Gas Station,Modern day,Town,Shops and Services,1980.0,267.0,3.0,20.0,,73.0,4.8,5.0
6390-1,Main Street,Modern day,Town,Shops and Services,1980.0,591.0,8.0,40.0,,250.0,4.6,5.0
6609-1,Race Car,Modern day,Town,Racing,1980.0,17.0,1.0,,33.0,3.0,4.3,3.0
6627-1,Convertible,Modern day,Town,Vehicles,1980.0,37.0,1.0,,88.0,6.0,5.0,7.0
6647-1,Highway Repair,Modern day,Town,Maintenance,1980.0,55.0,1.0,,167.0,7.0,4.0,1.0
6648-2,Dump Truck,Modern day,Town,Construction,1980.0,42.0,1.0,,149.0,11.0,4.0,2.0
6678-1,Pneumatic Crane,Modern day,Town,Construction,1980.0,60.0,1.0,,88.0,11.0,5.0,2.0
6679-2,Exxon Tow Truck,Modern day,Town,Vehicles,1980.0,79.0,1.0,,,18.0,4.5,2.0
6690-1,Snorkel Pumper,Modern day,Town,Fire,1980.0,91.0,2.0,,163.0,12.0,4.5,2.0
7858-1,Remote Controlled Points Right 12 V,Modern day,Trains,4.5/12 V,1980.0,12.0,0.0,,73.0,40.0,,
6077-1,Knight's Procession,Historical,Castle,Classic,1981.0,48.0,6.0,5.0,,43.0,4.0,1.0
6083-1,Knight's Joust,Historical,Castle,Classic,1981.0,211.0,6.0,16.0,,195.0,,
6365-1,Summer Cottage,Modern day,Town,Leisure,1981.0,144.0,1.0,,211.0,32.0,4.7,6.0
6382-1,Fire Station,Modern day,Town,Fire,1981.0,390.0,4.0,25.0,417.0,53.0,4.7,10.0
6383-1,Public Works Center,Modern day,Town,Maintenance,1981.0,421.0,4.0,30.0,799.0,266.0,5.0,6.0
6600-1,Police Patrol,Modern day,Town,Classic,1981.0,23.0,1.0,,,20.0,3.5,2.0
6602-1,Fire Unit I,Modern day,Town,Classic,1981.0,29.0,1.0,,,6.0,2.0,1.0
6610-1,Gas Pumps,Modern day,Town,Shops and Services,1981.0,29.0,1.0,,84.0,8.0,4.3,3.0
6611-1,Fire Chief's Car,Modern day,Town,Fire,1981.0,20.0,1.0,,88.0,3.0,4.0,3.0
6626-1,Rescue Helicopter,Modern day,Town,Classic,1981.0,37.0,0.0,,,14.0,,
6628-1,Shell Tow Truck,Modern day,Town,Vehicles,1981.0,38.0,0.0,,53.0,5.0,3.8,5.0
6629-1,Ambulance,Modern day,Town,Medical,1981.0,39.0,1.0,,110.0,5.0,4.0,2.0
6630-1,Bucket Loader,Modern day,Town,Construction,1981.0,34.0,1.0,,125.0,5.0,4.3,3.0
6650-1,Fire and Rescue Van,Modern day,Town,Fire,1981.0,46.0,1.0,,127.0,7.0,4.0,2.0
6680-1,Ambulance,Modern day,Town,Medical,1981.0,63.0,2.0,,148.0,13.0,5.0,2.0
6681-1,Police Van,Modern day,Town,Police,1981.0,82.0,1.0,,500.0,9.0,4.7,3.0
6691-1,Red Cross Helicopter,Modern day,Town,Medical,1981.0,107.0,2.0,,78.0,13.0,4.3,3.0
6870-1,Space Probe Launcher,Action/Adventure,Space,Classic,1981.0,60.0,1.0,,112.0,10.0,3.3,6.0
1590-2,Breakdown Assistance,Modern day,Town,Special,1982.0,233.0,4.0,,,166.0,4.0,1.0
4005-1,Tug Boat,Modern day,Boats,,1982.0,66.0,1.0,10.0,,23.0,4.4,8.0
4015-1,Freighter,Modern day,Boats,,1982.0,80.0,2.0,,,63.0,4.0,7.0
4025-1,Fire Boat,Modern day,Boats,,1982.0,150.0,3.0,,275.0,26.0,4.5,2.0
6302-1,Mini-Figure Set,Modern day,Town,Accessories,1982.0,25.0,6.0,,77.0,30.0,5.0,2.0
6308-1,Policemen,Modern day,Town,Accessories,1982.0,20.0,4.0,,,6.0,,
6362-1,Post Office,Modern day,Town,Postal,1982.0,133.0,1.0,,329.0,38.0,4.7,10.0
6372-1,Town House,Modern day,Town,Leisure,1982.0,217.0,2.0,,784.0,57.0,4.8,4.0
6607-1,Service Truck,Modern day,Town,Maintenance,1982.0,25.0,1.0,,66.0,4.0,4.0,5.0
6608-1,Tractor,Modern day,Town,Maintenance,1982.0,21.0,1.0,,68.0,3.0,3.5,4.0
6651-1,Mail Truck,Modern day,Town,Postal,1982.0,47.0,1.0,,167.0,12.0,4.2,5.0
6653-1,Highway Maintenance Truck,Modern day,Town,Maintenance,1982.0,56.0,1.0,,36.0,11.0,4.5,4.0
6685-1,Fire Copter 1,Modern day,Town,Fire,1982.0,99.0,1.0,,268.0,10.0,4.9,7.0
6371-1,Shell Service Station,Modern day,Town,Shops and Services,1983.0,261.0,3.0,,655.0,89.0,4.0,2.0
6374-1,Holiday Home,Modern day,Town,Leisure,1983.0,257.0,2.0,,,63.0,5.0,4.0
6384-1,Police Station,Modern day,Town,Police,1983.0,389.0,4.0,,325.0,52.0,4.4,7.0
6606-1,Road Repair Set,Modern day,Town,Maintenance,1983.0,27.0,1.0,,27.0,4.0,4.0,2.0
6623-1,Police Car,Modern day,Town,Police,1983.0,39.0,1.0,,28.0,7.0,4.3,6.0
6624-1,Delivery Van,Modern day,Town,Vehicles,1983.0,41.0,1.0,,67.0,8.0,4.5,6.0
6652-1,Construction Truck,Modern day,Town,Construction,1983.0,44.0,1.0,,111.0,4.0,4.0,3.0
6654-1,Motorcycle Transport,Modern day,Town,Vehicles,1983.0,50.0,1.0,,139.0,8.0,4.2,5.0
6683-1,Hamburger Stand,Modern day,Town,Shops and Services,1983.0,69.0,2.0,,305.0,30.0,5.0,7.0
6692-1,Tractor Trailer,Modern day,Town,Vehicles,1983.0,96.0,1.0,,249.0,16.0,4.5,4.0
7727-1,Freight Steam Train Set,Modern day,Trains,4.5/12 V,1983.0,570.0,2.0,,,533.0,5.0,1.0
7755-1,Diesel Heavy Shunting Locomotive,Modern day,Trains,4.5/12 V,1983.0,164.0,1.0,,588.0,166.0,3.8,4.0
7815-1,Passenger Carriage / Sleeper,Modern day,Trains,4.5/12 V,1983.0,228.0,2.0,,480.0,143.0,4.8,4.0
7819-1,Postal Container Wagon,Modern day,Trains,4.5/12 V,1983.0,183.0,1.0,,280.0,119.0,4.5,2.0
7821-1,Track & Lighting Maintenance Wagon,Modern day,Trains,4.5/12 V,1983.0,90.0,2.0,,159.0,36.0,4.5,2.0
7824-1,Railway Station,Modern day,Trains,4.5/12 V,1983.0,478.0,9.0,44.75,295.0,89.0,4.2,5.0
7838-1,Freight Loading Depot,Modern day,Trains,4.5/12 V,1983.0,315.0,3.0,,407.0,120.0,5.0,1.0
7866-1,Remote Controlled Road Crossing 12 V,Modern day,Trains,4.5/12 V,1983.0,191.0,1.0,,512.0,162.0,5.0,3.0
7867-1,4 Lighting Standards Electric 12 V,Modern day,Trains,4.5/12 V,1983.0,52.0,0.0,,78.0,45.0,4.0,1.0
105-1,Mail Van,Modern day,Town,Special,1984.0,65.0,1.0,,199.0,116.0,4.0,1.0
6010-1,Supply Wagon,Historical,Castle,Lion Knights,1984.0,35.0,1.0,3.0,167.0,9.0,4.4,12.0
6021-1,Jousting Knights,Historical,Castle,Lion Knights,1984.0,37.0,2.0,5.25,91.0,16.0,4.0,5.0
6022-1,Horse Cart,Historical,Castle,Lion Knights,1984.0,42.0,2.0,5.0,54.0,14.0,3.3,6.0
6030-1,Catapult,Historical,Castle,Black Falcons,1984.0,83.0,2.0,6.0,264.0,18.0,4.0,8.0
6040-1,Blacksmith Shop,Historical,Castle,Lion Knights,1984.0,92.0,2.0,9.25,261.0,30.0,4.4,8.0
6061-1,Siege Tower,Historical,Castle,Lion Knights,1984.0,216.0,4.0,17.5,333.0,44.0,4.3,6.0
6073-1,Knight's Castle,Historical,Castle,Black Falcons,1984.0,410.0,6.0,27.0,862.0,100.0,4.4,12.0
6080-1,King's Castle,Historical,Castle,Lion Knights,1984.0,674.0,12.0,52.75,2314.0,158.0,4.9,15.0
6103-2,Castle Figures,Historical,Castle,Accessories,1984.0,25.0,4.0,,90.0,27.0,,
6366-1,Fire & Rescue Squad,Modern day,Town,Fire,1984.0,112.0,3.0,,227.0,25.0,4.3,4.0
6367-1,Semi Truck,Modern day,Town,Vehicles,1984.0,155.0,1.0,,621.0,25.0,4.0,1.0
6373-1,Motorcycle Shop,Modern day,Town,Shops and Services,1984.0,171.0,2.0,17.5,1049.0,50.0,4.9,8.0
6391-1,Cargo Center,Modern day,Town,Shops and Services,1984.0,553.0,5.0,43.0,688.0,178.0,5.0,1.0
6605-1,Road Racer,Modern day,Town,Racing,1984.0,20.0,1.0,,30.0,3.0,3.0,1.0
6621-1,Fire Truck,Modern day,Town,Fire,1984.0,38.0,1.0,,175.0,6.0,2.5,2.0
6622-1,Mailman on Motorcycle,Modern day,Town,Postal,1984.0,26.0,2.0,,88.0,7.0,4.3,4.0
6655-1,Auto & Tire Repair,Modern day,Town,Shops and Services,1984.0,58.0,1.0,,79.0,9.0,4.3,6.0
6684-1,Police Patrol Squad,Modern day,Town,Police,1984.0,77.0,2.0,6.5,93.0,11.0,4.0,6.0
6686-1,Backhoe,Modern day,Town,Construction,1984.0,88.0,1.0,,284.0,12.0,5.0,1.0
6694-1,Car with Camper,Modern day,Town,Leisure,1984.0,109.0,2.0,,,14.0,5.0,1.0
6695-1,Tanker Truck,Modern day,Town,Vehicles,1984.0,106.0,1.0,,298.0,13.0,,
6696-1,Fuel Tanker,Modern day,Town,Vehicles,1984.0,106.0,1.0,,,43.0,3.8,4.0
106-1,UNICEF Van,Modern day,Town,Special,1985.0,59.0,1.0,,,1493.0,5.0,1.0
107-2,Mail Truck,Modern day,Town,Special,1985.0,31.0,1.0,,899.0,128.0,5.0,2.0
1552-1,Maersk Truck and Trailer Unit,Modern day,Town,Special,1985.0,352.0,1.0,,,320.0,5.0,1.0
1966-1,Car Repair Shop,Modern day,Town,Special,1985.0,296.0,2.0,,621.0,74.0,4.5,2.0
1968-1,(Unnamed),Action/Adventure,Space,Classic,1985.0,193.0,2.0,,,95.0,3.9,7.0
6011-1,Black Knight's Treasure,Historical,Castle,Black Falcons,1985.0,25.0,1.0,,177.0,15.0,3.8,6.0
6055-1,Prisoner Convoy,Historical,Castle,Lion Knights,1985.0,115.0,4.0,,280.0,36.0,4.2,6.0
6102-1,Castle Mini-Figures,Historical,Castle,Accessories,1985.0,36.0,6.0,5.5,85.0,61.0,4.6,5.0
6368-1,Jet Airliner,Modern day,Town,Flight,1985.0,136.0,2.0,12.75,307.0,33.0,4.4,8.0
6369-1,Auto Workshop,Modern day,Town,Shops and Services,1985.0,134.0,1.0,,398.0,33.0,5.0,6.0
6370-1,Weekend Home,Modern day,Town,Leisure,1985.0,177.0,2.0,,289.0,45.0,5.0,4.0
6377-1,Delivery Center,Modern day,Town,Flight,1985.0,305.0,4.0,25.5,368.0,132.0,4.7,3.0
6385-1,Fire House-I,Modern day,Town,Fire,1985.0,407.0,3.0,43.0,454.0,64.0,4.6,5.0
6392-1,Airport,Modern day,Town,Flight,1985.0,530.0,8.0,52.75,435.0,86.0,4.9,12.0
6601-1,Ice Cream Cart,Modern day,Town,Leisure,1985.0,30.0,1.0,,146.0,8.0,4.7,3.0
6603-1,Shovel Truck,Modern day,Town,Construction,1985.0,27.0,1.0,,79.0,4.0,4.0,1.0
6604-1,Formula 1 Racer,Modern day,Town,Racing,1985.0,31.0,1.0,,40.0,3.0,2.8,4.0
6631-1,Steam Shovel,Modern day,Town,Construction,1985.0,47.0,1.0,,75.0,10.0,4.0,2.0
6632-1,Tactical Patrol Truck,Modern day,Town,Police,1985.0,44.0,1.0,,28.0,5.0,3.5,2.0
6633-1,Family Car,Modern day,Town,Vehicles,1985.0,46.0,1.0,,229.0,17.0,3.0,1.0
6656-1,Tow Truck,Modern day,Town,Maintenance,1985.0,53.0,1.0,,113.0,10.0,4.5,4.0
6657-1,Fire Patrol Copter,Modern day,Town,Fire,1985.0,66.0,1.0,,106.0,7.0,,
6682-1,Cement Mixer,Modern day,Town,Construction,1985.0,90.0,1.0,,81.0,14.0,4.0,1.0
6688-1,Ambulance,Modern day,Town,Medical,1985.0,72.0,2.0,6.6,89.0,10.0,4.0,4.0
6689-1,Post-Station,Modern day,Town,Postal,1985.0,53.0,2.0,,141.0,27.0,4.0,3.0
6697-1,Rescue-I Helicopter,Modern day,Town,Emergency,1985.0,82.0,2.0,,299.0,16.0,4.6,5.0
6805-1,Astro Dasher,Action/Adventure,Space,Classic,1985.0,29.0,1.0,,83.0,10.0,5.0,1.0
6806-1,Surface Hopper,Action/Adventure,Space,Classic,1985.0,23.0,1.0,,110.0,10.0,5.0,3.0
6807-1,Space Sledge with Astronaut and Robot,Action/Adventure,Space,Classic,1985.0,29.0,2.0,,121.0,22.0,3.0,1.0
6825-1,Cosmic Comet,Action/Adventure,Space,Classic,1985.0,40.0,1.0,,77.0,10.0,4.3,3.0
6826-1,Crater Crawler,Action/Adventure,Space,Classic,1985.0,32.0,1.0,,71.0,15.0,4.0,3.0
6847-1,Space Dozer,Action/Adventure,Space,Classic,1985.0,49.0,1.0,,114.0,14.0,4.3,3.0
6848-2,Inter-Planetary Shuttle,Action/Adventure,Space,Classic,1985.0,62.0,1.0,,,45.0,,
6872-1,Xenon X-Craft,Action/Adventure,Space,Classic,1985.0,86.0,2.0,,189.0,17.0,4.3,7.0
6882-1,Walking Astro Grappler,Action/Adventure,Space,Classic,1985.0,92.0,1.0,,185.0,27.0,4.4,8.0
6891-1,Gamma V Laser Craft,Action/Adventure,Space,Classic,1985.0,144.0,2.0,,603.0,41.0,4.8,4.0
6931-1,FX Star Patroller,Action/Adventure,Space,Classic,1985.0,239.0,2.0,,417.0,67.0,4.8,4.0
6952-1,Solar Power Transporter,Action/Adventure,Space,Classic,1985.0,317.0,5.0,36.5,618.0,66.0,5.0,5.0
7715-1,Push-Along Passenger Steam Train,Modern day,Trains,4.5/12 V,1985.0,449.0,5.0,,394.0,87.0,3.5,2.0
7722-1,Steam Cargo Train Set,Modern day,Trains,4.5/12 V,1985.0,495.0,3.0,68.5,803.0,150.0,4.2,9.0
7735-1,Freight Train Set,Modern day,Trains,4.5/12 V,1985.0,509.0,2.0,,,218.0,4.3,4.0
7745-1,High-Speed City Express Passenger Train Set,Modern day,Trains,4.5/12 V,1985.0,736.0,10.0,,1185.0,283.0,4.4,5.0
7817-1,Crane Wagon,Modern day,Trains,4.5/12 V,1985.0,147.0,1.0,25.5,145.0,53.0,4.0,2.0
7835-1,Road Crossing,Modern day,Trains,4.5/12 V,1985.0,129.0,1.0,18.15,115.0,65.0,4.3,4.0
1525-1,LEGO Container Lorry,Modern day,Town,Vehicles,1986.0,154.0,1.0,,,71.0,,
1526-1, Unknown,Action/Adventure,Space,Classic,1986.0,104.0,0.0,,,,,
1528-1,Dragster,Modern day,Town,Racing,1986.0,21.0,1.0,,,15.0,3.0,2.0
1557-1,Scooter,Action/Adventure,Space,Classic,1986.0,26.0,1.0,,,11.0,3.0,3.0
1558-1,Mobile Command Trailer,Action/Adventure,Space,Classic,1986.0,70.0,2.0,,236.0,81.0,3.0,3.0
1572-1,Super Tow Truck,Modern day,Town,Vehicles,1986.0,79.0,1.0,,,29.0,4.0,4.0
1580-1,Lunar Scout,Action/Adventure,Space,Classic,1986.0,72.0,1.0,,,93.0,4.7,3.0
1589-2,"Breakdown Assistance, Touring Club Schweiz Edition",Modern day,Town,Special,1986.0,245.0,4.0,,,293.0,,
5510-1,Off-Road 4 x 4,Model making,Model Team,,1986.0,285.0,0.0,,141.0,33.0,4.9,7.0
5540-1,Formula 1 Racer,Model making,Model Team,,1986.0,451.0,0.0,,175.0,44.0,5.0,4.0
5580-1,Highway Rig,Model making,Model Team,,1986.0,667.0,0.0,,360.0,73.0,4.7,6.0
6012-1,Siege Cart,Historical,Castle,Lion Knights,1986.0,54.0,2.0,3.5,21.0,12.0,3.8,4.0
6023-1,Maiden's Cart,Historical,Castle,Lion Knights,1986.0,43.0,2.0,5.5,34.0,18.0,3.1,7.0
6041-1,Armor Shop,Historical,Castle,Lion Knights,1986.0,114.0,2.0,,305.0,49.0,4.7,7.0
6067-1,Guarded Inn,Historical,Castle,Lion Knights,1986.0,230.0,4.0,19.75,802.0,84.0,4.5,8.0
6074-1,Black Falcon's Fortress,Historical,Castle,Black Falcons,1986.0,430.0,6.0,35.0,862.0,116.0,4.8,16.0
6301-1,Town Mini-Figures,Modern day,Town,Accessories,1986.0,32.0,6.0,5.5,81.0,15.0,4.0,3.0
6359-1,Horse Trailer,Modern day,Town,Leisure,1986.0,141.0,1.0,12.75,,26.0,4.5,2.0
6360-1,Weekend Cottage,Modern day,Town,Leisure,1986.0,113.0,2.0,12.75,223.0,42.0,4.3,3.0
6361-1,Mobile Crane,Modern day,Town,Vehicles,1986.0,163.0,1.0,12.75,130.0,17.0,4.3,4.0
6378-1,Shell Service Station,Modern day,Town,Shops and Services,1986.0,291.0,2.0,25.5,380.0,62.0,4.8,8.0
6379-1,Riding Stable,Modern day,Town,Leisure,1986.0,275.0,2.0,26.0,288.0,47.0,4.8,4.0
6386-1,Police Command Base,Modern day,Town,Police,1986.0,381.0,4.0,,409.0,38.0,5.0,8.0
6450-1,Mobile Police Truck,Modern day,Town,Police,1986.0,84.0,1.0,,135.0,21.0,5.0,2.0
6480-1,Hook and Ladder Truck,Modern day,Town,Fire,1986.0,118.0,1.0,20.0,225.0,24.0,4.3,4.0
6612-1,Fire Chief's Car,Modern day,Town,Fire,1986.0,29.0,1.0,,27.0,4.0,2.7,3.0
6613-1,Telephone Booth,Modern day,Town,Shops and Services,1986.0,24.0,1.0,,99.0,8.0,4.0,6.0
6634-1,Stock Car,Modern day,Town,Racing,1986.0,47.0,1.0,,99.0,4.0,4.8,8.0
6658-1,Bulldozer,Modern day,Town,Construction,1986.0,65.0,1.0,,53.0,7.0,5.0,2.0
6659-1,TV Camera Crew,Modern day,Town,Vehicles,1986.0,64.0,2.0,,87.0,8.0,4.7,3.0
6676-1,Mobile Command Unit,Modern day,Town,Police,1986.0,100.0,2.0,,199.0,10.0,4.3,4.0
6677-1,Motocross Racing,Modern day,Town,Racing,1986.0,72.0,1.0,,61.0,11.0,4.3,3.0
6698-1,RV with Speedboat,Modern day,Town,Leisure,1986.0,129.0,1.0,,139.0,10.0,5.0,5.0
6702-1,Space Mini-Figures,Action/Adventure,Space,Classic,1986.0,56.0,6.0,5.0,330.0,46.0,3.8,4.0
6750-1,Sonic Robot,Action/Adventure,Space,Classic,1986.0,103.0,2.0,,283.0,49.0,5.0,2.0
6780-1,XT Starship,Action/Adventure,Space,Classic,1986.0,201.0,1.0,,445.0,59.0,4.6,5.0
6783-1,Sonar Transmitting Cruiser,Action/Adventure,Space,Classic,1986.0,363.0,3.0,50.0,856.0,98.0,4.6,5.0
6802-1,Space Probe,Action/Adventure,Space,Classic,1986.0,31.0,2.0,,50.0,29.0,3.3,4.0
6820-1,Starfire I,Action/Adventure,Space,Classic,1986.0,34.0,1.0,,60.0,9.0,4.5,2.0
6845-1,Cosmic Charger,Action/Adventure,Space,Classic,1986.0,51.0,1.0,,145.0,9.0,4.0,2.0
6874-1,Moon Rover,Action/Adventure,Space,Classic,1986.0,66.0,2.0,,242.0,14.0,4.5,2.0
6892-1,Modular Space Transport,Action/Adventure,Space,Classic,1986.0,150.0,2.0,,,35.0,3.0,4.0
6926-1,Mobile Recovery Vehicle,Action/Adventure,Space,Classic,1986.0,150.0,2.0,,467.0,54.0,4.3,3.0
6940-1,Alien Moon Stalker,Action/Adventure,Space,Classic,1986.0,263.0,2.0,,415.0,111.0,4.7,7.0
6985-1,Cosmic Fleet Voyager,Action/Adventure,Space,Classic,1986.0,413.0,4.0,,1400.0,192.0,4.6,10.0
7813-1,Shell Tanker Wagon,Modern day,Trains,4.5/12 V,1986.0,121.0,1.0,,284.0,40.0,3.5,2.0
7823-1,Container Crane Depot,Modern day,Trains,4.5/12 V,1986.0,487.0,2.0,,236.0,123.0,4.7,3.0
7839-1,Car Transport Depot,Modern day,Trains,4.5/12 V,1986.0,340.0,2.0,,217.0,103.0,4.2,5.0
610-2,Rescue Helicopter,Modern day,Town,Special,1987.0,39.0,0.0,,,22.0,,
1472-1,Vacation House,Modern day,Town,Leisure,1987.0,353.0,4.0,,628.0,91.0,4.8,4.0
1484-1,Houses,Modern day,Town,Special,1987.0,197.0,2.0,,,105.0,4.5,6.0
1496-1,Rally Car,Modern day,Town,Racing,1987.0,52.0,1.0,,83.0,28.0,4.0,2.0
1497-1,Pitstop and Crew,Modern day,Town,Racing,1987.0,124.0,2.0,,73.0,39.0,4.5,2.0
1498-1,Spy-Bot,Action/Adventure,Space,Classic,1987.0,62.0,0.0,,,35.0,4.0,2.0
1499-1,Twin Starfire,Action/Adventure,Space,Classic,1987.0,89.0,2.0,,,76.0,3.5,4.0
4010-1,Police Rescue Boat,Modern day,Boats,,1987.0,83.0,2.0,15.5,275.0,18.0,4.3,8.0
4020-1,Fire Fighter,Modern day,Boats,,1987.0,206.0,3.0,28.5,180.0,45.0,5.0,3.0
4030-1,Cargo Carrier,Modern day,Boats,,1987.0,323.0,3.0,44.0,400.0,135.0,5.0,3.0
6017-1,King's Oarsmen,Historical,Castle,Lion Knights,1987.0,45.0,2.0,3.75,74.0,11.0,4.0,7.0
6049-1,Viking Voyager,Historical,Castle,Lion Knights,1987.0,99.0,5.0,11.0,139.0,35.0,4.2,6.0
6062-1,Battering Ram,Historical,Castle,Black Falcons,1987.0,236.0,6.0,19.95,399.0,65.0,4.4,7.0
6066-1,Camouflaged Outpost,Historical,Castle,Forestmen,1987.0,211.0,6.0,23.0,476.0,102.0,4.9,15.0
6358-1,Snorkel Squad,Modern day,Town,Fire,1987.0,153.0,2.0,13.5,225.0,15.0,4.8,4.0
6380-1,Emergency Treatment Center,Modern day,Town,Medical,1987.0,308.0,5.0,29.75,329.0,62.0,4.8,15.0
6381-1,Motor Speedway,Modern day,Town,Racing,1987.0,205.0,5.0,23.0,134.0,19.0,4.0,3.0
6393-1,Big Rig Truck Stop,Modern day,Town,Shops and Services,1987.0,621.0,5.0,52.75,1399.0,150.0,4.8,5.0
6501-1,Sport Convertible,Modern day,Town,Vehicles,1987.0,30.0,1.0,,61.0,4.0,4.5,2.0
6502-1,Turbo Racer,Modern day,Town,Racing,1987.0,24.0,1.0,,20.0,4.0,3.7,3.0
6521-1,Emergency Repair Truck,Modern day,Town,Maintenance,1987.0,58.0,1.0,,169.0,6.0,4.3,6.0
6522-1,Highway Patrol,Modern day,Town,Police,1987.0,30.0,2.0,,68.0,8.0,4.1,7.0
6523-1,Red Cross,Modern day,Town,Medical,1987.0,51.0,1.0,,58.0,8.0,4.2,5.0
6641-1,4-Wheelin' Truck,Modern day,Town,Vehicles,1987.0,81.0,1.0,6.5,56.0,5.0,4.5,2.0
6687-1,Turbo Prop I,Modern day,Town,Flight,1987.0,78.0,2.0,6.48,158.0,11.0,4.5,4.0
6693-1,Refuse Collection Truck,Modern day,Town,Maintenance,1987.0,115.0,2.0,,249.0,15.0,5.0,5.0
6699-1,Cycle Fix-It Shop,Modern day,Town,Shops and Services,1987.0,71.0,2.0,,180.0,29.0,4.5,4.0
6808-1,Galaxy Trekkor,Action/Adventure,Space,Classic,1987.0,29.0,1.0,,72.0,6.0,3.0,1.0
6809-1,XT-5 and Droid,Action/Adventure,Space,Classic,1987.0,52.0,2.0,,108.0,10.0,4.8,4.0
6827-1,Strata Scooter,Action/Adventure,Space,Classic,1987.0,35.0,1.0,,118.0,12.0,3.5,2.0
6849-1,Satellite Patroller,Action/Adventure,Space,Classic,1987.0,46.0,1.0,,91.0,11.0,4.7,3.0
6883-1,Terrestrial Rover,Action/Adventure,Space,Classic,1987.0,109.0,1.0,,157.0,28.0,4.0,3.0
6884-1,Aero Module,Action/Adventure,Space,Futuron,1987.0,113.0,2.0,,84.0,26.0,5.0,2.0
6893-1,Orion II Hyperspace,Action/Adventure,Space,Futuron,1987.0,163.0,2.0,,196.0,30.0,5.0,2.0
6894-1,Invader,Action/Adventure,Space,Blacktron,1987.0,164.0,2.0,,338.0,33.0,4.6,7.0
6932-1,Stardefender 200,Action/Adventure,Space,Futuron,1987.0,251.0,2.0,,360.0,66.0,4.6,9.0
6941-1,Battrax,Action/Adventure,Space,Blacktron,1987.0,284.0,1.0,,454.0,63.0,4.9,7.0
6953-1,Cosmic Laser Launcher,Action/Adventure,Space,Futuron,1987.0,208.0,3.0,30.0,543.0,75.0,4.4,5.0
6954-1,Renegade,Action/Adventure,Space,Blacktron,1987.0,313.0,2.0,30.0,,142.0,4.5,4.0
6972-1,Polaris I Space Lab,Action/Adventure,Space,Classic,1987.0,390.0,3.0,,,121.0,5.0,5.0
6990-1,Monorail Transport System,Action/Adventure,Space,Futuron,1987.0,731.0,5.0,155.0,2291.0,322.0,5.0,13.0
611-2,Air Canada Jet Plane,Modern day,Town,Special,1988.0,92.0,0.0,,,200.0,,
1490-1,Town Bank,Modern day,Town,Shops and Services,1988.0,187.0,3.0,,1192.0,297.0,3.2,5.0
1584-1,Knight's Challenge,Historical,Castle,Lion Knights,1988.0,132.0,8.0,,,134.0,4.3,4.0
6016-1,Knights' Arsenal,Historical,Castle,Lion Knights,1988.0,37.0,1.0,4.25,102.0,10.0,3.8,8.0
6035-1,Castle Guard,Historical,Castle,Black Falcons,1988.0,52.0,2.0,5.75,171.0,22.0,4.2,9.0
6039-1,Twin-Arm Launcher,Historical,Castle,Lion Knights,1988.0,77.0,2.0,8.5,153.0,22.0,4.4,5.0
6054-1,Forestmen's Hideout,Historical,Castle,Forestmen,1988.0,201.0,2.0,17.5,188.0,50.0,4.9,14.0
6085-1,Black Monarch's Castle,Historical,Castle,Black Knights,1988.0,702.0,12.0,68.0,961.0,162.0,4.9,34.0
6103-1,Castle Mini Figures,Historical,Castle,Accessories,1988.0,42.0,6.0,6.75,137.0,38.0,4.4,8.0
6309-1,Town Mini-Figures,Modern day,Town,Accessories,1988.0,37.0,6.0,6.0,45.0,17.0,3.7,3.0
6315-1,Road Signs,Modern day,Town,Accessories,1988.0,11.0,0.0,3.0,22.0,11.0,4.0,7.0
6316-1,Flags and Fences,Modern day,Town,Accessories,1988.0,38.0,0.0,4.0,15.0,7.0,5.0,2.0
6317-1,Trees and Flowers,Modern day,Town,Accessories,1988.0,24.0,0.0,4.0,19.0,13.0,5.0,2.0
6349-1,Holiday Villa,Modern day,Town,Leisure,1988.0,205.0,2.0,,251.0,53.0,5.0,5.0
6356-1,Med-Star Rescue Plane,Modern day,Town,Medical,1988.0,159.0,3.0,15.5,158.0,18.0,4.7,7.0
6357-1,Stunt 'Copter N' Truck,Modern day,Town,Vehicles,1988.0,177.0,2.0,17.0,123.0,13.0,4.5,8.0
6394-1,Metro Park & Service Tower,Modern day,Town,Shops and Services,1988.0,620.0,6.0,58.25,624.0,133.0,4.8,11.0
6395-1,Victory Lap Raceway,Modern day,Town,Racing,1988.0,606.0,13.0,58.25,417.0,98.0,4.7,11.0
