set_no,name,theme_group,theme,subtheme,year,piece_cnt,minifig_cnt,price_store,price_new,price_used,rating_value,rating_votes
76083-1,Beware the Vulture,Licensed,Marvel Super Heroes,Spider-Man: Homecoming,2017.0,375.0,4.0,39.99,44.0,37.0,4.7,3.0
76084-1,The Ultimate Battle for Asgard,Licensed,Marvel Super Heroes,Thor: Ragnarok,2017.0,400.0,6.0,49.99,38.0,21.0,5.0,2.0
76085-1,Battle of Atlantis,Licensed,DC Comics Super Heroes,DC Extended Universe,2017.0,197.0,4.0,19.99,11.0,10.0,3.6,5.0
76086-1,Knightcrawler Tunnel Attack,Licensed,DC Comics Super Heroes,DC Extended Universe,2017.0,622.0,4.0,49.99,28.0,26.0,,
76087-1,Flying Fox: Batmobile Airlift Attack,Licensed,DC Comics Super Heroes,DC Extended Universe,2017.0,955.0,6.0,129.99,77.0,64.0,4.0,1.0
76088-1,Thor vs. Hulk: Arena Clash,Licensed,Marvel Super Heroes,Thor: Ragnarok,2017.0,492.0,5.0,59.99,59.0,43.0,3.0,1.0
10260-1,Downtown Diner,Model making,Creator Expert,Modular Buildings,2018.0,2480.0,6.0,169.99,137.0,119.0,4.4,5.0
10261-1,Roller Coaster,Model making,Creator Expert,Fairground,2018.0,4124.0,11.0,379.99,288.0,300.0,5.0,3.0
10262-1,James Bond Aston Martin DB5,Model making,Creator Expert,Vehicles,2018.0,1290.0,0.0,149.99,119.0,109.0,4.3,6.0
10263-1,Winter Village Fire Station,Model making,Creator Expert,Winter Village,2018.0,1166.0,8.0,99.99,79.0,70.0,,
10268-1,Vestas Wind Turbine,Model making,Creator Expert,Vestas,2018.0,826.0,3.0,199.99,138.0,169.0,5.0,1.0
21038-1,Las Vegas,Model making,Architecture,Skylines,2018.0,487.0,0.0,39.99,,,,
21039-1,Shanghai,Model making,Architecture,Skylines,2018.0,597.0,0.0,59.99,42.0,46.0,5.0,1.0
21041-1,Great Wall of China,Model making,Architecture,Landmark Series,2018.0,551.0,0.0,49.99,38.0,18.0,5.0,1.0
21042-1,Statue of Liberty,Model making,Architecture,Landmark Series,2018.0,1685.0,0.0,119.99,73.0,86.0,4.0,2.0
21047-1,Las Vegas,Model making,Architecture,Skylines,2018.0,501.0,0.0,39.99,31.0,25.0,4.0,1.0
21138-1,The Melon Farm,Licensed,Minecraft,Minifig-scale,2018.0,69.0,3.0,14.99,17.0,10.0,3.5,2.0
21139-1,The Nether Fight,Licensed,Minecraft,Minifig-scale,2018.0,84.0,3.0,14.99,17.0,8.0,5.0,2.0
21140-1,The Chicken Coop,Licensed,Minecraft,Minifig-scale,2018.0,198.0,1.0,19.99,16.0,15.0,5.0,2.0
21141-1,The Zombie Cave,Licensed,Minecraft,Minifig-scale,2018.0,241.0,3.0,19.99,15.0,10.0,2.5,2.0
21142-1,The Polar Igloo,Licensed,Minecraft,Minifig-scale,2018.0,278.0,2.0,29.99,28.0,20.0,4.0,1.0
21143-1,The Nether Portal,Licensed,Minecraft,Minifig-scale,2018.0,470.0,3.0,39.99,29.0,32.0,4.5,4.0
21144-1,The Farm Cottage ,Licensed,Minecraft,Minifig-scale,2018.0,549.0,3.0,49.99,84.0,46.0,5.0,1.0
21145-1,The Skull Arena,Licensed,Minecraft,Minifig-scale,2018.0,198.0,2.0,19.99,14.0,,,
21146-1,The Skeleton Attack,Licensed,Minecraft,Minifig-scale,2018.0,457.0,4.0,39.99,46.0,,5.0,2.0
21147-1,The Bedrock Adventures,Licensed,Minecraft,Minifig-scale,2018.0,644.0,4.0,89.99,68.0,,,
31071-1,Drone Explorer,Model making,Creator,,2018.0,109.0,0.0,9.99,7.0,7.0,2.7,3.0
31072-1,Extreme Engines,Model making,Creator,,2018.0,109.0,0.0,9.99,8.0,6.0,5.0,1.0
31073-1,Mythical Creatures,Model making,Creator,,2018.0,223.0,0.0,14.99,10.0,10.0,4.7,3.0
31074-1,Rocket Rally Car,Model making,Creator,,2018.0,241.0,0.0,19.99,15.0,7.0,,
31075-1,Outback Adventures,Model making,Creator,,2018.0,225.0,1.0,19.99,17.0,,4.0,2.0
31076-1,Daredevil Stunt Plane,Model making,Creator,,2018.0,200.0,1.0,19.99,15.0,11.0,4.0,2.0
31077-1,Modular Sweet Surprises,Model making,Creator,,2018.0,396.0,3.0,39.99,25.0,,,
31078-1,Tree House Treasures ,Model making,Creator,,2018.0,260.0,2.0,29.99,22.0,,3.0,1.0
31079-1,Sunshine Surfer Van,Model making,Creator,,2018.0,379.0,2.0,34.99,22.0,,4.0,1.0
31080-1,Modular Winter Vacation,Model making,Creator,Modular,2018.0,374.0,2.0,34.99,22.0,20.0,,
31081-1,Modular Skate House,Model making,Creator,Modular,2018.0,422.0,2.0,39.99,31.0,,4.0,1.0
31083-1,Cruising Adventures,Model making,Creator,,2018.0,597.0,3.0,59.99,27.0,,4.0,1.0
31084-1,Pirate Roller Coaster,Model making,Creator,,2018.0,923.0,5.0,89.99,62.0,55.0,5.0,2.0
31085-1,Mobile Stunt Show,Model making,Creator,,2018.0,581.0,2.0,49.99,29.0,,,
40270-1,Valentine's Bee,Licensed,BrickHeadz,Seasonal,2018.0,140.0,0.0,9.99,12.0,11.0,4.0,2.0
40271-1,Easter Bunny,Licensed,BrickHeadz,Seasonal,2018.0,126.0,0.0,9.99,10.0,,4.5,2.0
40272-1,Halloween Witch,Licensed,BrickHeadz,Seasonal,2018.0,151.0,0.0,9.99,10.0,,4.0,1.0
40273-1,Thanksgiving Turkey,Licensed,BrickHeadz,Seasonal,2018.0,114.0,0.0,9.99,11.0,,5.0,1.0
