set_no,name,url,theme_group,theme,subtheme,year,piece_cnt,minifig_cnt,inventory_url,minifig_url,price_store,price_new,price_used,rating_value,rating_votes,tags,set_type,packaging
722-1,"Universal Building Set, 7+",/sets/722-1/Universal-Building-Set-7,Basic,Basic,,1980.0,301.0,0.0,,,20.0,200.0,78.0,4.4,5.0,"4X4, Aircraft, Articulated Lorry, Boat, Car, Crane, Helicopter, Steam Roller, Trailer, Truck",Normal,
733-1,"Universal Building Set, 7+",/sets/733-1/Universal-Building-Set-7,Basic,Basic,,1980.0,533.0,0.0,,,39.0,566.0,109.0,4.5,2.0,"Articulated Lorry, Base, Baseplate, Crane, Formula 1, Helicopter, Pickup Truck, Racing, Racing Car, Truck",Normal,
744-1,"Universal Building Set with Motor, 7+",/sets/744-1/Universal-Building-Set-with-Motor-7,Basic,Basic,,1980.0,537.0,0.0,,,59.0,252.0,97.0,5.0,2.0,"8 Wheel Vehicle, Crane, Electric Motor, Mobile Base, Mobile Crane, Truck, Windmill",Normal,
820-1,Red Plates Parts Pack,/sets/820-1/Red-Plates-Parts-Pack,Basic,Basic,Supplementaries,1980.0,34.0,0.0,,,4.75,,,,,,Normal,
822-1,Blue Plates Parts Pack,/sets/822-1/Blue-Plates-Parts-Pack,Basic,Basic,Supplementaries,1980.0,34.0,0.0,,,4.75,29.0,5.0,,,,Normal,
830-1,Red Bricks Parts Pack,/sets/830-1/Red-Bricks-Parts-Pack,Basic,Basic,Supplementaries,1980.0,46.0,0.0,,,4.75,12.0,,,,,Normal,
831-1,Black Bricks Parts Pack,/sets/831-1/Black-Bricks-Parts-Pack,Basic,Basic,Supplementaries,1980.0,46.0,0.0,,,4.75,7.0,,,,,Normal,
832-1,Blue Bricks Parts Pack,/sets/832-1/Blue-Bricks-Parts-Pack,Basic,Basic,Supplementaries,1980.0,46.0,0.0,,,4.75,18.0,,,,,Normal,
833-1,White Bricks Parts Pack,/sets/833-1/White-Bricks-Parts-Pack,Basic,Basic,Supplementaries,1980.0,46.0,0.0,,,4.75,11.0,,,,,Normal,
834-1,Yellow Bricks Parts Pack,/sets/834-1/Yellow-Bricks-Parts-Pack,Basic,Basic,Supplementaries,1980.0,46.0,0.0,,,4.75,30.0,,,,,Normal,
836-1,Doors and Windows Parts Pack,/sets/836-1/Doors-and-Windows-Parts-Pack,Basic,Basic,Supplementaries,1980.0,37.0,0.0,,,4.75,14.0,,,,,Normal,
837-1,Wheels and Tyres Parts Pack,/sets/837-1/Wheels-and-Tyres-Parts-Pack,Basic,Basic,Supplementaries,1980.0,28.0,0.0,,,4.75,3.0,2.0,,,,Normal,
838-1,"Red Roof Bricks Parts Pack, 45°",/sets/838-1/Red-Roof-Bricks-Parts-Pack-45°,Basic,Basic,Supplementaries,1980.0,58.0,0.0,,,4.75,30.0,,4.0,1.0,,Normal,Box
839-1,"Red Roof Bricks Parts Pack, 33°",/sets/839-1/Red-Roof-Bricks-Parts-Pack-33°,Basic,Basic,Supplementaries,1980.0,42.0,0.0,,,4.75,12.0,,5.0,1.0,,Normal,Box
840-1,"Baseplate, Green",/sets/840-1/Baseplate-Green,Basic,Basic,Supplementaries,1980.0,1.0,0.0,,,,15.0,5.0,3.7,3.0,Baseplate,Normal,
841-1,"Baseplates, Green and Yellow",/sets/841-1/Baseplates-Green-and-Yellow,Basic,Basic,Supplementaries,1980.0,2.0,0.0,,,,,,,,,Normal,
842-1,"Baseplates, Red and Blue",/sets/842-1/Baseplates-Red-and-Blue,Basic,Basic,Supplementaries,1980.0,2.0,0.0,,,,,,,,,Normal,
843-1,"Baseplate, Grey",/sets/843-1/Baseplate-Grey,Basic,Basic,Supplementaries,1980.0,1.0,0.0,,,,,,5.0,2.0,Baseplate,Normal,
858-1,Auto Engines,/sets/858-1/Auto-Engines,Technical,Technic,,1980.0,242.0,0.0,,,,,51.0,4.5,2.0,,Normal,Box
1041-2,Educational Duplo Building Set,/sets/1041-2/Educational-Duplo-Building-Set,Educational,Dacta,,1980.0,68.0,0.0,,,36.5,,,,,,Normal,
1050-2,Universal set for boys and girls,/sets/1050-2/Universal-set-for-boys-and-girls,Educational,Dacta,,1980.0,,0.0,,,,,,,,,Normal,
1062-1,{Town Vehicles},/sets/1062-1/{Town-Vehicles},Educational,Dacta,,1980.0,172.0,6.0,,/minifigs/inset-1062-1,,,24.0,,,"Ambulance, Delivery Truck, Fire Truck, Pickup Truck, Police Car, Service Vehicle, Tow Truck",Normal,
1075-1,LEGO People Supplementary Set,/sets/1075-1/LEGO-People-Supplementary-Set,Educational,Dacta,,1980.0,304.0,0.0,,,14.5,,,,,Maxifig,Normal,
1076-2,LEGO Car and Truck Supplementary Set,/sets/1076-2/LEGO-Car-and-Truck-Supplementary-Set,Educational,Dacta,,1980.0,,0.0,,,14.5,,,,,,Normal,
1101-1,Replacement 4.5V Motor,/sets/1101-1/Replacement-4-5V-Motor,Miscellaneous,Service Packs,,1980.0,1.0,0.0,,,5.65,19.0,,,,Polybag,Normal,Polybag
1102-1,Four Motor Wheel Bushes,/sets/1102-1/Four-Motor-Wheel-Bushes,Miscellaneous,Service Packs,,1980.0,4.0,0.0,,,,1.0,,,,Polybag,Normal,Polybag
1103-1,Battery Box,/sets/1103-1/Battery-Box,Miscellaneous,Service Packs,,1980.0,1.0,0.0,,,,17.0,8.0,,,Polybag,Normal,Polybag
1104-1,Two Connector Leads,/sets/1104-1/Two-Connector-Leads,Miscellaneous,Service Packs,,1980.0,2.0,0.0,,,,17.0,,,,Polybag,Normal,Polybag
1105-1,Two Rubber Crawler Tracks,/sets/1105-1/Two-Rubber-Crawler-Tracks,Miscellaneous,Service Packs,,1980.0,2.0,0.0,,,,1.0,,,,"Polybag, Tracked Vehicle",Normal,Polybag
1106-1,Battery Tender for Trains,/sets/1106-1/Battery-Tender-for-Trains,Miscellaneous,Service Packs,Trains,1980.0,2.0,0.0,,,,,18.0,,,"Electric, Polybag, Train Accessory",Normal,Polybag
1107-1,Two Shunting Trip-Posts and One Signal,/sets/1107-1/Two-Shunting-Trip-Posts-and-One-Signal,Miscellaneous,Service Packs,Trains,1980.0,4.0,0.0,,,,,12.0,,,"Polybag, Trackside Structure, Train Accessory",Normal,Polybag
1108-1,Two Pairs of Magnetic Couplings,/sets/1108-1/Two-Pairs-of-Magnetic-Couplings,Miscellaneous,Service Packs,Trains,1980.0,4.0,0.0,,,,13.0,,,,Polybag,Normal,Polybag
1110-1,Four Locomotive Wheels,/sets/1110-1/Four-Locomotive-Wheels,Miscellaneous,Service Packs,Trains,1980.0,8.0,0.0,,,,7.0,2.0,,,Polybag,Normal,Polybag
1111-1,Eight Rubber Rims for Locomotive Wheels,/sets/1111-1/Eight-Rubber-Rims-for-Locomotive-Wheels,Miscellaneous,Service Packs,Trains,1980.0,8.0,0.0,,,,21.0,,,,Polybag,Normal,Polybag
1113-1,Motor Frame 6 x 16 Stud Plus Four Buffers,/sets/1113-1/Motor-Frame-6-x-16-Stud-Plus-Four-Buffers,Miscellaneous,Service Packs,,1980.0,5.0,0.0,,,,6.0,,,,Polybag,Normal,Polybag
1114-1,Motor Frame 6 x 22 Stud,/sets/1114-1/Motor-Frame-6-x-22-Stud,Miscellaneous,Service Packs,,1980.0,1.0,0.0,,,,17.0,17.0,,,Polybag,Normal,Polybag
1115-1,"Lighting Brick, 4.5V",/sets/1115-1/Lighting-Brick-4-5V,Miscellaneous,Service Packs,,1980.0,1.0,0.0,,,,4.0,3.0,,,Polybag,Normal,Polybag
1120-1,"Two Tyres, 42 mm Diameter",/sets/1120-1/Two-Tyres-42-mm-Diameter,Miscellaneous,Service Packs,,1980.0,2.0,0.0,,,,5.0,,,,Polybag,Normal,Polybag
1122-1,Hinge Units,/sets/1122-1/Hinge-Units,Miscellaneous,Service Packs,,1980.0,3.0,0.0,,,,5.0,,,,Polybag,Normal,Polybag
1123-1,Ball and Socket Couplings & One Articulated Joint,/sets/1123-1/Ball-and-Socket-Couplings-One-Articulated-Joint,Miscellaneous,Service Packs,,1980.0,8.0,0.0,,,16.0,6.0,,,,Polybag,Normal,Polybag
1125-1,Crane Grab Assembly,/sets/1125-1/Crane-Grab-Assembly,Miscellaneous,Service Packs,,1980.0,3.0,0.0,,,,11.0,,,,Polybag,Normal,Polybag
1129-2,Spread Bag,/sets/1129-2/Spread-Bag,Miscellaneous,Service Packs,,1980.0,34.0,0.0,,,,18.0,7.0,,,Polybag,Normal,Polybag
1130-1,Plastic Folder for Building Instructions,/sets/1130-1/Plastic-Folder-for-Building-Instructions,Miscellaneous,Service Packs,,1980.0,1.0,0.0,,,14.0,,12.0,,,Polybag,Normal,Polybag
1591-1,Danone Delivery Truck,/sets/1591-1/Danone-Delivery-Truck,Modern day,Town,Special,1980.0,40.0,0.0,,,,129.0,28.0,,,"Delivery Truck, Truck",Normal,Box
1592-1,Town Square - Castle Scene,/sets/1592-1/Town-Square-Castle-Scene,Modern day,Town,Classic,1980.0,471.0,11.0,,/minifigs/inset-1592-1,,1168.0,235.0,4.8,4.0,"Brick Built Animals, Car, Carriage, Castle, Convertible, Horse, Lamppost, Netherlands, Pedestrian Crossing, Road Baseplate, Shop, Statue, Store, Street Vendor, United Kingdom",Normal,Box
1651-2,Maersk Line Container Lorry,/sets/1651-2/Maersk-Line-Container-Lorry,Modern day,Town,Special,1980.0,305.0,1.0,,/minifigs/inset-1651-2,,,444.0,5.0,1.0,"Articulated Lorry, Maersk, Trailer, Truck",Normal,Box
2053-1,Rock 'n' Roll Pull-Toy,/sets/2053-1/Rock-n-Roll-Pull-Toy,Pre-school,Duplo,,1980.0,4.0,1.0,,/minifigs/inset-2053-1,,,,,,,Normal,
2056-1,Rock 'n' Rattle Pull-Toy,/sets/2056-1/Rock-n-Rattle-Pull-Toy,Pre-school,Duplo,,1980.0,6.0,1.0,,/minifigs/inset-2056-1,,,,,,,Normal,
2620-1,Sports Car,/sets/2620-1/Sports-Car,Pre-school,Duplo,,1980.0,2.0,1.0,,/minifigs/inset-2620-1,,,10.0,,,,Normal,
2623-1,Delivery Van,/sets/2623-1/Delivery-Van,Pre-school,Duplo,,1980.0,6.0,1.0,,/minifigs/inset-2623-1,,,10.0,,,,Normal,
2625-1,Car with Boat and Trailer,/sets/2625-1/Car-with-Boat-and-Trailer,Pre-school,Duplo,,1980.0,6.0,1.0,,/minifigs/inset-2625-1,,28.0,14.0,,,,Normal,
2627-1,Pony Trailer,/sets/2627-1/Pony-Trailer,Pre-school,Duplo,,1980.0,5.0,1.0,,/minifigs/inset-2627-1,,,15.0,,,,Normal,
2630-1,Family Room,/sets/2630-1/Family-Room,Pre-school,Duplo,,1980.0,9.0,3.0,,/minifigs/inset-2630-1,13.25,,,,,,Normal,
2640-1,Grocery Store,/sets/2640-1/Grocery-Store,Pre-school,Duplo,,1980.0,23.0,2.0,,/minifigs/inset-2640-1,,,34.0,,,,Normal,
2643-2,Playbox,/sets/2643-2/Playbox,Pre-school,Duplo,,1980.0,1.0,0.0,,,,,,,,,Normal,
2645-1,Nursery School,/sets/2645-1/Nursery-School,Pre-school,Duplo,,1980.0,29.0,6.0,,/minifigs/inset-2645-1,,,42.0,,,,Normal,
2650-1,Farm,/sets/2650-1/Farm,Pre-school,Duplo,,1980.0,60.0,5.0,,/minifigs/inset-2650-1,14.75,,85.0,,,,Normal,
3602-1,Pram - Lisa Lamb Goes Walking,/sets/3602-1/Pram-Lisa-Lamb-Goes-Walking,Junior,Fabuland,,1980.0,3.0,1.0,,/minifigs/inset-3602-1,,,8.0,,,,Normal,
3604-1,Mark Monkey with his Fruit Stall,/sets/3604-1/Mark-Monkey-with-his-Fruit-Stall,Junior,Fabuland,,1980.0,3.0,1.0,,/minifigs/inset-3604-1,,18.0,7.0,3.0,1.0,Street Vendor,Normal,
3605-1,Ricky Racoon and his Scooter,/sets/3605-1/Ricky-Racoon-and-his-Scooter,Junior,Fabuland,,1980.0,1.0,1.0,,/minifigs/inset-3605-1,,18.0,4.0,,,Motorcycle,Normal,
3634-1,Charlie Crow's Carry-All,/sets/3634-1/Charlie-Crow-s-Carry-All,Junior,Fabuland,,1980.0,17.0,1.0,,/minifigs/inset-3634-1,,90.0,14.0,3.0,1.0,"Car, Pickup Truck",Normal,
3665-1,Harry Horse and Clara Cow's Ice Cream Shoppe,/sets/3665-1/Harry-Horse-and-Clara-Cow-s-Ice-Cream-Shoppe,Junior,Fabuland,,1980.0,36.0,2.0,,/minifigs/inset-3665-1,,,45.0,4.0,1.0,"Frozen Treats, Shop, Street Vendor",Normal,
4306-1,Rings,/sets/4306-1/Rings,Girls,Scala,Jewellery,1980.0,15.0,0.0,,,,,,,,,Normal,
4307-1,Rings,/sets/4307-1/Rings,Girls,Scala,Jewellery,1980.0,15.0,0.0,,,,,,,,,Normal,
4336-1,Picture Frame and Mirror,/sets/4336-1/Picture-Frame-and-Mirror,Girls,Scala,Jewellery,1980.0,52.0,0.0,,,,,,,,,Normal,
5233-1,Bedroom,/sets/5233-1/Bedroom,Vintage themes,Homemaker,,1980.0,26.0,1.0,,/minifigs/inset-5233-1,4.5,4.0,,5.0,1.0,"Baby, Baseplate, Bedroom, Furniture, House, Maxifig, Microscale, Truck",Normal,
6000-1,LEGOLAND Idea Book,/sets/6000-1/LEGOLAND-Idea-Book,Miscellaneous,Books,LEGO,1980.0,,0.0,,,2.0,,,4.9,10.0,Lego Ideas Book,Book,
6304-1,"Road Plates, Cross",/sets/6304-1/Road-Plates-Cross,Modern day,Town,Accessories,1980.0,2.0,0.0,,,,22.0,11.0,4.0,1.0,"Baseplate, Pedestrian Crossing, Road Baseplate",Normal,Shrink-wrapped
6305-1,Trees and Flowers,/sets/6305-1/Trees-and-Flowers,Modern day,Town,Accessories,1980.0,12.0,0.0,,,3.75,28.0,10.0,4.3,4.0,Accessory,Normal,Box
6306-1,Road Signs,/sets/6306-1/Road-Signs,Modern day,Town,Accessories,1980.0,12.0,0.0,,,2.5,49.0,13.0,4.0,3.0,Accessory,Normal,Box
6363-1,Auto Repair Shop,/sets/6363-1/Auto-Repair-Shop,Modern day,Town,Shops and Services,1980.0,141.0,1.0,,/minifigs/inset-6363-1,,744.0,30.0,4.6,5.0,"Baseplate, Service Station, Service Vehicle, Tow Truck",Normal,Box
6364-1,Paramedic Unit,/sets/6364-1/Paramedic-Unit,Modern day,Town,Medical,1980.0,137.0,2.0,,/minifigs/inset-6364-1,,272.0,35.0,5.0,5.0,"Ambulance, Baseplate, Convertible, Hospital, Medical",Normal,Box
6375-2,Exxon Gas Station,/sets/6375-2/Exxon-Gas-Station,Modern day,Town,Shops and Services,1980.0,267.0,3.0,,/minifigs/inset-6375-2,20.0,,73.0,4.8,5.0,"Car, Exxon, Pedestrian Crossing, Road Baseplate, Service Station, Shop",Normal,Box
6390-1,Main Street,/sets/6390-1/Main-Street,Modern day,Town,Shops and Services,1980.0,591.0,8.0,,/minifigs/inset-6390-1,40.0,,250.0,4.6,5.0,"Bedroom, Car, Construction, Convertible, Crane, Hotel, House, Lamppost, Pedestrian Crossing, Pickup Truck, Road Baseplate, Service Station, Street Vendor, Truck",Normal,Box
6609-1,Race Car,/sets/6609-1/Race-Car,Modern day,Town,Racing,1980.0,17.0,1.0,,/minifigs/inset-6609-1,,33.0,3.0,4.3,3.0,"Car, Racing, Racing Car",Normal,Box
6627-1,Convertible,/sets/6627-1/Convertible,Modern day,Town,Vehicles,1980.0,37.0,1.0,,/minifigs/inset-6627-1,,88.0,6.0,5.0,7.0,"Car, Convertible",Normal,Box
6647-1,Highway Repair,/sets/6647-1/Highway-Repair,Modern day,Town,Maintenance,1980.0,55.0,1.0,,/minifigs/inset-6647-1,,167.0,7.0,4.0,1.0,"Service Vehicle, Tractor, Trailer",Normal,Box
6648-2,Dump Truck,/sets/6648-2/Dump-Truck,Modern day,Town,Construction,1980.0,42.0,1.0,,/minifigs/inset-6648-2,,149.0,11.0,4.0,2.0,"Construction, Dump Truck, Tipper Truck",Normal,Box
6678-1,Pneumatic Crane,/sets/6678-1/Pneumatic-Crane,Modern day,Town,Construction,1980.0,60.0,1.0,,/minifigs/inset-6678-1,,88.0,11.0,5.0,2.0,"Construction, Excavator",Normal,Box
6679-2,Exxon Tow Truck,/sets/6679-2/Exxon-Tow-Truck,Modern day,Town,Vehicles,1980.0,79.0,1.0,,/minifigs/inset-6679-2,,,18.0,4.5,2.0,"Car, Convertible, Exxon, Service Vehicle, Tow Truck, Truck",Normal,Box
6690-1,Snorkel Pumper,/sets/6690-1/Snorkel-Pumper,Modern day,Town,Fire,1980.0,91.0,2.0,,/minifigs/inset-6690-1,,163.0,12.0,4.5,2.0,"Articulated Lorry, Cherry Picker, Fire, Fire Truck, Trailer, Truck",Normal,Box
6821-1,Shovel Buggy,/sets/6821-1/Shovel-Buggy,Action/Adventure,Space,Classic,1980.0,28.0,1.0,,/minifigs/inset-6821-1,,120.0,7.0,3.7,3.0,Ground Vehicle,Normal,
6841-1,Mineral Detector,/sets/6841-1/Mineral-Detector,Action/Adventure,Space,Classic,1980.0,44.0,1.0,,/minifigs/inset-6841-1,,294.0,7.0,4.5,2.0,Ground Vehicle,Normal,
6861-1,X1 Patrol Craft,/sets/6861-1/X1-Patrol-Craft,Action/Adventure,Space,Classic,1980.0,55.0,1.0,,/minifigs/inset-6861-1,4.0,158.0,36.0,5.0,2.0,Spaceship,Normal,
6901-1,Mobile Lab,/sets/6901-1/Mobile-Lab,Action/Adventure,Space,Classic,1980.0,135.0,2.0,,/minifigs/inset-6901-1,,8.0,66.0,3.8,5.0,"Ground Vehicle, Lab, Mobile Base",Normal,
6970-1,Beta I Command Base,/sets/6970-1/Beta-I-Command-Base,Action/Adventure,Space,Classic,1980.0,264.0,4.0,,/minifigs/inset-6970-1,37.0,1117.0,123.0,5.0,9.0,"Base, Baseplate, Ground Vehicle, Spaceship",Normal,
7710-1,Push-Along Passenger Steam Train,/sets/7710-1/Push-Along-Passenger-Steam-Train,Modern day,Trains,4.5/12 V,1980.0,447.0,5.0,,/minifigs/inset-7710-1,,,89.0,4.2,5.0,"Deutsche Bundesbahn, Multibuild, Passenger Coach, Passenger Train, Public Transport, Steam Locomotive, Trackside Structure, Train Track",Normal,
7720-1,Diesel Freight Train Set,/sets/7720-1/Diesel-Freight-Train-Set,Modern day,Trains,4.5/12 V,1980.0,425.0,3.0,,/minifigs/inset-7720-1,,,116.0,4.0,3.0,"4.5V, Deutsche Bundesbahn, Diesel Locomotive, Electric, Electric Locomotive, Electric Motor, Freight Train, Freight Wagon, Front Loader, Level Crossing, Multibuild, Trackside Structure, Train Track",Normal,
7730-1,Electric Goods Train Set,/sets/7730-1/Electric-Goods-Train-Set,Modern day,Trains,4.5/12 V,1980.0,512.0,2.0,,/minifigs/inset-7730-1,,,314.0,4.5,2.0,"12V, Deutsche Bundesbahn, Diesel Locomotive, Electric, Electric Motor, Forklift, Freight Train, Freight Wagon, Multibuild, Steam Locomotive, Train Track",Normal,
7740-1,Inter-City Passenger Train Set,/sets/7740-1/Inter-City-Passenger-Train-Set,Modern day,Trains,4.5/12 V,1980.0,786.0,10.0,,/minifigs/inset-7740-1,,1681.0,258.0,5.0,4.0,"12V, Deutsche Bundesbahn, Electric, Electric Locomotive, Electric Motor, Freight Wagon, Light Brick, Multibuild, Passenger Coach, Passenger Train, Public Transport, Restaurant, Trackside Structure, Train Track",Normal,
7750-1,Steam Engine with Tender,/sets/7750-1/Steam-Engine-with-Tender,Modern day,Trains,4.5/12 V,1980.0,263.0,2.0,,/minifigs/inset-7750-1,,,348.0,4.7,3.0,"12V, Deutsche Bundesbahn, Electric, Electric Motor, Light Brick, Multibuild, Steam Locomotive",Normal,
7760-1,Diesel Shunter Locomotive,/sets/7760-1/Diesel-Shunter-Locomotive,Modern day,Trains,4.5/12 V,1980.0,150.0,2.0,,/minifigs/inset-7760-1,,1126.0,209.0,4.7,3.0,"12V, Deutsche Bundesbahn, Diesel Locomotive, Electric, Electric Motor, Multibuild",Normal,
7810-1,Push-Along Steam Engine,/sets/7810-1/Push-Along-Steam-Engine,Modern day,Trains,4.5/12 V,1980.0,97.0,1.0,,/minifigs/inset-7810-1,,252.0,66.0,3.0,1.0,"Deutsche Bundesbahn, Steam Locomotive",Normal,
7814-1,Crane Wagon,/sets/7814-1/Crane-Wagon,Modern day,Trains,4.5/12 V,1980.0,113.0,2.0,,/minifigs/inset-7814-1,,,53.0,5.0,1.0,"Crane, Freight Wagon, Mobile Crane, Multibuild, Railway Maintenance",Normal,
7816-1,Shell Tanker Wagon,/sets/7816-1/Shell-Tanker-Wagon,Modern day,Trains,4.5/12 V,1980.0,120.0,1.0,,/minifigs/inset-7816-1,,,43.0,2.0,2.0,"Freight Wagon, Shell, Tanker",Normal,
7818-1,Passenger Coach,/sets/7818-1/Passenger-Coach,Modern day,Trains,4.5/12 V,1980.0,114.0,2.0,,/minifigs/inset-7818-1,,179.0,38.0,4.7,3.0,"Deutsche Bundesbahn, Multibuild, Passenger Coach",Normal,
7820-1,Mail Van,/sets/7820-1/Mail-Van,Modern day,Trains,4.5/12 V,1980.0,212.0,2.0,,/minifigs/inset-7820-1,,308.0,81.0,4.0,3.0,"Deutsche Bundesbahn, Freight Wagon, Mail, Multibuild, Post",Normal,
7822-1,Railway Station,/sets/7822-1/Railway-Station,Modern day,Trains,4.5/12 V,1980.0,384.0,3.0,,/minifigs/inset-7822-1,,,95.0,4.5,2.0,"Lamppost, Pedestrian Crossing, Railway Building, Trackside Structure, Train Station, Train Track",Normal,
7834-1,Level Crossing,/sets/7834-1/Level-Crossing,Modern day,Trains,4.5/12 V,1980.0,91.0,1.0,,/minifigs/inset-7834-1,,169.0,43.0,3.0,2.0,"Level Crossing, Railway Building, Road Baseplate, Trackside Structure, Train Track",Normal,
7850-1,8 Straight Rails Grey 4.5 V,/sets/7850-1/8-Straight-Rails-Grey-4-5-V,Modern day,Trains,4.5/12 V,1980.0,32.0,0.0,,,,25.0,16.0,,,"Track, Train Track",Normal,
7851-1,8 Curved Rails Grey 4.5 V,/sets/7851-1/8-Curved-Rails-Grey-4-5-V,Modern day,Trains,4.5/12 V,1980.0,32.0,0.0,,,,12.0,9.0,5.0,1.0,"Track, Train Track",Normal,
7852-1,Left and Right Points Manual Grey 4.5 V,/sets/7852-1/Left-and-Right-Points-Manual-Grey-4-5-V,Modern day,Trains,4.5/12 V,1980.0,14.0,0.0,/inventories/7852-1,,,8.0,7.0,5.0,2.0,"4.5V, Track, Train Track",Normal,
7853-1,"Crossing, Grey 4.5 V",/sets/7853-1/Crossing-Grey-4-5-V,Modern day,Trains,4.5/12 V,1980.0,5.0,0.0,,,,8.0,7.0,,,"Track, Train Track",Normal,
7854-1,8 Straight Electric Rails Grey 12 V,/sets/7854-1/8-Straight-Electric-Rails-Grey-12-V,Modern day,Trains,4.5/12 V,1980.0,8.0,0.0,,,,24.0,15.0,4.0,1.0,"12V, Electric, Track, Train Track",Normal,
7855-1,8 Curved Electric Rails Grey 12 V,/sets/7855-1/8-Curved-Electric-Rails-Grey-12-V,Modern day,Trains,4.5/12 V,1980.0,8.0,0.0,,,,11.0,7.0,,,"12V, Electric, Track, Train Track",Normal,
7856-1,Left and Right Manual Points with Electric Rails Grey 12 V,/sets/7856-1/Left-and-Right-Manual-Points-with-Electric-Rails-Grey-12-V,Modern day,Trains,4.5/12 V,1980.0,16.0,0.0,/inventories/7856-1,,,44.0,36.0,,,"12V, Electric, Track, Train Track",Normal,
7857-1,"Crossing, Electric Rails Grey 12 V",/sets/7857-1/Crossing-Electric-Rails-Grey-12-V,Modern day,Trains,4.5/12 V,1980.0,5.0,0.0,,,,12.0,8.0,,,"12V, Electric, Track, Train Track",Normal,
7858-1,Remote Controlled Points Right 12 V,/sets/7858-1/Remote-Controlled-Points-Right-12-V,Modern day,Trains,4.5/12 V,1980.0,12.0,0.0,/inventories/7858-1,,,73.0,40.0,,,"12V, Electric, Electric Motor, Train Track",Normal,Box
7859-1,Remote Controlled Points Left 12 V,/sets/7859-1/Remote-Controlled-Points-Left-12-V,Modern day,Trains,4.5/12 V,1980.0,12.0,0.0,/inventories/7859-1,,,91.0,41.0,,,"12V, Electric, Electric Motor, Train Track",Normal,
7860-1,Remote Controlled Signal 12 V,/sets/7860-1/Remote-Controlled-Signal-12-V,Modern day,Trains,4.5/12 V,1980.0,24.0,0.0,/inventories/7860-1,,,138.0,75.0,4.5,2.0,"12V, Electric, Light Brick, Train Accessory, Train Track",Normal,
7861-1,Lighting Set Electric 12 V,/sets/7861-1/Lighting-Set-Electric-12-V,Modern day,Trains,4.5/12 V,1980.0,28.0,0.0,,,,46.0,24.0,4.0,1.0,"12V, Electric, Light Brick, Train Accessory",Normal,
7863-1,Remote Controlled Point Motor 12 V,/sets/7863-1/Remote-Controlled-Point-Motor-12-V,Modern day,Trains,4.5/12 V,1980.0,7.0,0.0,/inventories/7863-1,,,52.0,42.0,3.0,1.0,"12V, Electric, Electric Motor, Train Accessory",Normal,
7864-1,Transformer / Speed Controller 12 V,/sets/7864-1/Transformer-Speed-Controller-12-V,Modern day,Trains,4.5/12 V,1980.0,33.0,0.0,,,,73.0,27.0,3.5,2.0,"12V, Electric, Power Adapter, Train Accessory",Normal,
7865-1,Motor Replacement Unit for Battery or Motor-Less Trains 12 V,/sets/7865-1/Motor-Replacement-Unit-for-Battery-or-Motor-Less-Trains-12-V,Modern day,Trains,4.5/12 V,1980.0,19.0,0.0,,,,188.0,92.0,4.0,1.0,"12V, Electric, Electric Motor, Train Accessory",Normal,
8857-2,Motorcycles,/sets/8857-2/Motorcycles,Technical,Technic,,1980.0,377.0,0.0,,,49.5,,79.0,,,"Motor Trike, Motorcycle, Sidecar",Normal,Box
8858-2,Auto Engines,/sets/8858-2/Auto-Engines,Technical,Technic,,1980.0,460.0,0.0,,,69.0,,95.0,5.0,2.0,,Normal,Box
8860-1,Car Chassis,/sets/8860-1/Car-Chassis,Technical,Technic,,1980.0,668.0,0.0,,,59.0,661.0,94.0,4.7,19.0,"20 Wide Car, Flagship Set, Super Car",Normal,Box
8888-1,Ideas Book,/sets/8888-1/Ideas-Book,Miscellaneous,Books,LEGO,1980.0,,0.0,,,,,,5.0,1.0,"Lego Ideas Book, Technic",Book,
KCP03-1,WWF Female Minifigure Key Chain,/sets/KCP03-1/WWF-Female-Minifigure-Key-Chain,Miscellaneous,Gear,Key Chains/Promotional,1980.0,,0.0,,,,,,,,,Gear,Tag
1-11,Basic Souvenir Box,/sets/1-11/Basic-Souvenir-Box,Basic,Basic,,1981.0,38.0,0.0,,,,,,,,"Aircraft, Brick Built Animals, Duck",Normal,
226-2,Building Ideas Book,/sets/226-2/Building-Ideas-Book,Miscellaneous,Books,LEGO,1981.0,,0.0,,,2.4,,,3.0,1.0,Lego Ideas Book,Book,
322-1,Basic Set,/sets/322-1/Basic-Set,Basic,Basic,,1981.0,82.0,0.0,,,6.0,,,,,Brick Built Animals,Normal,
333-1,Basic Set,/sets/333-1/Basic-Set,Basic,Basic,,1981.0,98.0,2.0,,/minifigs/inset-333-1,10.0,47.0,4.0,,,"Boat, Brick Built Animals, House, Pickup Truck, Turtle",Normal,
355-2,Universal Building Set,/sets/355-2/Universal-Building-Set,Basic,Basic,,1981.0,181.0,2.0,,/minifigs/inset-355-2,18.5,76.0,7.0,,,"Boat, Brick Built Animals, Duck, Horse, House, Tractor",Normal,
366-1,Basic Building Set,/sets/366-1/Basic-Building-Set,Basic,Basic,,1981.0,184.0,2.0,,/minifigs/inset-366-1,,37.0,,,,"Brick Built Animals, Brick Built Figure, Crocodile, House",Normal,Box
544-1,"Basic Building Set, 5+",/sets/544-1/Basic-Building-Set-5,Basic,Basic,,1981.0,141.0,1.0,,/minifigs/inset-544-1,9.5,,10.0,5.0,1.0,"Baseplate, Boat, Car, House",Normal,
