set_no,name,url,theme_group,theme,subtheme,year,piece_cnt,minifig_cnt,inventory_url,minifig_url,price_store,price_new,price_used,rating_value,rating_votes,tags,set_type,packaging,inventory_id,number_parts,total_parts,1st_color,2nd_color
858-1,Auto Engines,/sets/858-1/Auto-Engines,Technical,Technic,,1980.0,242.0,0.0,,,,,51.0,4.5,2.0,,Normal,Box,4886,46,242,Blue,Light Gray
1591-1,Danone Delivery Truck,/sets/1591-1/Danone-Delivery-Truck,Modern day,Town,Special,1980.0,40.0,0.0,,,,129.0,28.0,,,"Delivery Truck, Truck",Normal,Box,11940,19,40,White,Blue
1592-1,Town Square - Castle Scene,/sets/1592-1/Town-Square-Castle-Scene,Modern day,Town,Classic,1980.0,471.0,11.0,,/minifigs/inset-1592-1,,1168.0,235.0,4.8,4.0,"Brick Built Animals, Car, Carriage, Castle, Convertible, Horse, Lamppost, Netherlands, Pedestrian Crossing, Road Baseplate, Shop, Statue, Store, Street Vendor, United Kingdom",Normal,Box,14106,133,495,Black,Yellow
1651-2,Maersk Line Container Lorry,/sets/1651-2/Maersk-Line-Container-Lorry,Modern day,Town,Special,1980.0,305.0,1.0,,/minifigs/inset-1651-2,,,444.0,5.0,1.0,"Articulated Lorry, Maersk, Trailer, Truck",Normal,Box,14402,66,305,Maersk Blue,Light Gray
3634-1,Charlie Crow's Carry-All,/sets/3634-1/Charlie-Crow-s-Carry-All,Junior,Fabuland,,1980.0,17.0,1.0,,/minifigs/inset-3634-1,,90.0,14.0,3.0,1.0,"Car, Pickup Truck",Normal,,10916,15,18,Yellow,Green
3665-1,Harry Horse and Clara Cow's Ice Cream Shoppe,/sets/3665-1/Harry-Horse-and-Clara-Cow-s-Ice-Cream-Shoppe,Junior,Fabuland,,1980.0,36.0,2.0,,/minifigs/inset-3665-1,,,45.0,4.0,1.0,"Frozen Treats, Shop, Street Vendor",Normal,,9898,18,39,Yellow,Red
4306-1,Rings,/sets/4306-1/Rings,Girls,Scala,Jewellery,1980.0,15.0,0.0,,,,,,,,,Normal,,15317,14,15,White,Yellow
4336-1,Picture Frame and Mirror,/sets/4336-1/Picture-Frame-and-Mirror,Girls,Scala,Jewellery,1980.0,52.0,0.0,,,,,,,,,Normal,,13019,10,48,White,White
6304-1,"Road Plates, Cross",/sets/6304-1/Road-Plates-Cross,Modern day,Town,Accessories,1980.0,2.0,0.0,,,,22.0,11.0,4.0,1.0,"Baseplate, Pedestrian Crossing, Road Baseplate",Normal,Shrink-wrapped,9688,1,2,Light Gray,Light Gray
6305-1,Trees and Flowers,/sets/6305-1/Trees-and-Flowers,Modern day,Town,Accessories,1980.0,12.0,0.0,,,3.75,28.0,10.0,4.3,4.0,Accessory,Normal,Box,10996,6,24,Green,Red
6306-1,Road Signs,/sets/6306-1/Road-Signs,Modern day,Town,Accessories,1980.0,12.0,0.0,,,2.5,49.0,13.0,4.0,3.0,Accessory,Normal,Box,3460,10,12,White,White
6363-1,Auto Repair Shop,/sets/6363-1/Auto-Repair-Shop,Modern day,Town,Shops and Services,1980.0,141.0,1.0,,/minifigs/inset-6363-1,,744.0,30.0,4.6,5.0,"Baseplate, Service Station, Service Vehicle, Tow Truck",Normal,Box,9030,59,140,Blue,Black
6364-1,Paramedic Unit,/sets/6364-1/Paramedic-Unit,Modern day,Town,Medical,1980.0,137.0,2.0,,/minifigs/inset-6364-1,,272.0,35.0,5.0,5.0,"Ambulance, Baseplate, Convertible, Hospital, Medical",Normal,Box,7323,64,140,White,Red
6375-2,Exxon Gas Station,/sets/6375-2/Exxon-Gas-Station,Modern day,Town,Shops and Services,1980.0,267.0,3.0,,/minifigs/inset-6375-2,20.0,,73.0,4.8,5.0,"Car, Exxon, Pedestrian Crossing, Road Baseplate, Service Station, Shop",Normal,Box,13621,95,272,White,Red
6390-1,Main Street,/sets/6390-1/Main-Street,Modern day,Town,Shops and Services,1980.0,591.0,8.0,,/minifigs/inset-6390-1,40.0,,250.0,4.6,5.0,"Bedroom, Car, Construction, Convertible, Crane, Hotel, House, Lamppost, Pedestrian Crossing, Pickup Truck, Road Baseplate, Service Station, Street Vendor, Truck",Normal,Box,8700,156,614,Red,White
6609-1,Race Car,/sets/6609-1/Race-Car,Modern day,Town,Racing,1980.0,17.0,1.0,,/minifigs/inset-6609-1,,33.0,3.0,4.3,3.0,"Car, Racing, Racing Car",Normal,Box,8429,13,17,Black,White
6627-1,Convertible,/sets/6627-1/Convertible,Modern day,Town,Vehicles,1980.0,37.0,1.0,,/minifigs/inset-6627-1,,88.0,6.0,5.0,7.0,"Car, Convertible",Normal,Box,10734,25,37,Black,Light Gray
6647-1,Highway Repair,/sets/6647-1/Highway-Repair,Modern day,Town,Maintenance,1980.0,55.0,1.0,,/minifigs/inset-6647-1,,167.0,7.0,4.0,1.0,"Service Vehicle, Tractor, Trailer",Normal,Box,932,34,55,Blue,Black
6648-2,Dump Truck,/sets/6648-2/Dump-Truck,Modern day,Town,Construction,1980.0,42.0,1.0,,/minifigs/inset-6648-2,,149.0,11.0,4.0,2.0,"Construction, Dump Truck, Tipper Truck",Normal,Box,9425,25,42,Black,Yellow
6678-1,Pneumatic Crane,/sets/6678-1/Pneumatic-Crane,Modern day,Town,Construction,1980.0,60.0,1.0,,/minifigs/inset-6678-1,,88.0,11.0,5.0,2.0,"Construction, Excavator",Normal,Box,411,38,61,Black,Yellow
6679-2,Exxon Tow Truck,/sets/6679-2/Exxon-Tow-Truck,Modern day,Town,Vehicles,1980.0,79.0,1.0,,/minifigs/inset-6679-2,,,18.0,4.5,2.0,"Car, Convertible, Exxon, Service Vehicle, Tow Truck, Truck",Normal,Box,8066,38,78,Black,Blue
6690-1,Snorkel Pumper,/sets/6690-1/Snorkel-Pumper,Modern day,Town,Fire,1980.0,91.0,2.0,,/minifigs/inset-6690-1,,163.0,12.0,4.5,2.0,"Articulated Lorry, Cherry Picker, Fire, Fire Truck, Trailer, Truck",Normal,Box,7548,48,104,Black,Red
6821-1,Shovel Buggy,/sets/6821-1/Shovel-Buggy,Action/Adventure,Space,Classic,1980.0,28.0,1.0,,/minifigs/inset-6821-1,,120.0,7.0,3.7,3.0,Ground Vehicle,Normal,,14415,23,30,Light Gray,Black
6841-1,Mineral Detector,/sets/6841-1/Mineral-Detector,Action/Adventure,Space,Classic,1980.0,44.0,1.0,,/minifigs/inset-6841-1,,294.0,7.0,4.5,2.0,Ground Vehicle,Normal,,7817,24,44,Light Gray,Black
6861-1,X1 Patrol Craft,/sets/6861-1/X1-Patrol-Craft,Action/Adventure,Space,Classic,1980.0,55.0,1.0,,/minifigs/inset-6861-1,4.0,158.0,36.0,5.0,2.0,Spaceship,Normal,,6636,30,55,Light Gray,Red
6901-1,Mobile Lab,/sets/6901-1/Mobile-Lab,Action/Adventure,Space,Classic,1980.0,135.0,2.0,,/minifigs/inset-6901-1,,8.0,66.0,3.8,5.0,"Ground Vehicle, Lab, Mobile Base",Normal,,3999,52,139,Light Gray,Black
6970-1,Beta I Command Base,/sets/6970-1/Beta-I-Command-Base,Action/Adventure,Space,Classic,1980.0,264.0,4.0,,/minifigs/inset-6970-1,37.0,1117.0,123.0,5.0,9.0,"Base, Baseplate, Ground Vehicle, Spaceship",Normal,,9575,105,273,Blue,Light Gray
7710-1,Push-Along Passenger Steam Train,/sets/7710-1/Push-Along-Passenger-Steam-Train,Modern day,Trains,4.5/12 V,1980.0,447.0,5.0,,/minifigs/inset-7710-1,,,89.0,4.2,5.0,"Deutsche Bundesbahn, Multibuild, Passenger Coach, Passenger Train, Public Transport, Steam Locomotive, Trackside Structure, Train Track",Normal,,9627,87,432,Black,Light Gray
7720-1,Diesel Freight Train Set,/sets/7720-1/Diesel-Freight-Train-Set,Modern day,Trains,4.5/12 V,1980.0,425.0,3.0,,/minifigs/inset-7720-1,,,116.0,4.0,3.0,"4.5V, Deutsche Bundesbahn, Diesel Locomotive, Electric, Electric Locomotive, Electric Motor, Freight Train, Freight Wagon, Front Loader, Level Crossing, Multibuild, Trackside Structure, Train Track",Normal,,5748,106,427,Black,Red
7730-1,Electric Goods Train Set,/sets/7730-1/Electric-Goods-Train-Set,Modern day,Trains,4.5/12 V,1980.0,512.0,2.0,,/minifigs/inset-7730-1,,,314.0,4.5,2.0,"12V, Deutsche Bundesbahn, Diesel Locomotive, Electric, Electric Motor, Forklift, Freight Train, Freight Wagon, Multibuild, Steam Locomotive, Train Track",Normal,,7415,116,519,Black,Light Gray
7740-1,Inter-City Passenger Train Set,/sets/7740-1/Inter-City-Passenger-Train-Set,Modern day,Trains,4.5/12 V,1980.0,786.0,10.0,,/minifigs/inset-7740-1,,1681.0,258.0,5.0,4.0,"12V, Deutsche Bundesbahn, Electric, Electric Locomotive, Electric Motor, Freight Wagon, Light Brick, Multibuild, Passenger Coach, Passenger Train, Public Transport, Restaurant, Trackside Structure, Train Track",Normal,,159,120,785,Black,Light Gray
7750-1,Steam Engine with Tender,/sets/7750-1/Steam-Engine-with-Tender,Modern day,Trains,4.5/12 V,1980.0,263.0,2.0,,/minifigs/inset-7750-1,,,348.0,4.7,3.0,"12V, Deutsche Bundesbahn, Electric, Electric Motor, Light Brick, Multibuild, Steam Locomotive",Normal,,12150,95,268,Black,Red
7760-1,Diesel Shunter Locomotive,/sets/7760-1/Diesel-Shunter-Locomotive,Modern day,Trains,4.5/12 V,1980.0,150.0,2.0,,/minifigs/inset-7760-1,,1126.0,209.0,4.7,3.0,"12V, Deutsche Bundesbahn, Diesel Locomotive, Electric, Electric Motor, Multibuild",Normal,,2619,55,152,Blue,Black
7810-1,Push-Along Steam Engine,/sets/7810-1/Push-Along-Steam-Engine,Modern day,Trains,4.5/12 V,1980.0,97.0,1.0,,/minifigs/inset-7810-1,,252.0,66.0,3.0,1.0,"Deutsche Bundesbahn, Steam Locomotive",Normal,,4654,44,97,Black,Red
7814-1,Crane Wagon,/sets/7814-1/Crane-Wagon,Modern day,Trains,4.5/12 V,1980.0,113.0,2.0,,/minifigs/inset-7814-1,,,53.0,5.0,1.0,"Crane, Freight Wagon, Mobile Crane, Multibuild, Railway Maintenance",Normal,,3612,46,113,Black,Yellow
7816-1,Shell Tanker Wagon,/sets/7816-1/Shell-Tanker-Wagon,Modern day,Trains,4.5/12 V,1980.0,120.0,1.0,,/minifigs/inset-7816-1,,,43.0,2.0,2.0,"Freight Wagon, Shell, Tanker",Normal,,4442,32,111,Black,White
7818-1,Passenger Coach,/sets/7818-1/Passenger-Coach,Modern day,Trains,4.5/12 V,1980.0,114.0,2.0,,/minifigs/inset-7818-1,,179.0,38.0,4.7,3.0,"Deutsche Bundesbahn, Multibuild, Passenger Coach",Normal,,9377,42,115,Black,Red
7820-1,Mail Van,/sets/7820-1/Mail-Van,Modern day,Trains,4.5/12 V,1980.0,212.0,2.0,,/minifigs/inset-7820-1,,308.0,81.0,4.0,3.0,"Deutsche Bundesbahn, Freight Wagon, Mail, Multibuild, Post",Normal,,14739,56,211,Red,Black
7822-1,Railway Station,/sets/7822-1/Railway-Station,Modern day,Trains,4.5/12 V,1980.0,384.0,3.0,,/minifigs/inset-7822-1,,,95.0,4.5,2.0,"Lamppost, Pedestrian Crossing, Railway Building, Trackside Structure, Train Station, Train Track",Normal,,7750,62,382,Red,Black
7834-1,Level Crossing,/sets/7834-1/Level-Crossing,Modern day,Trains,4.5/12 V,1980.0,91.0,1.0,,/minifigs/inset-7834-1,,169.0,43.0,3.0,2.0,"Level Crossing, Railway Building, Road Baseplate, Trackside Structure, Train Track",Normal,,988,31,95,Blue,Red
7850-1,8 Straight Rails Grey 4.5 V,/sets/7850-1/8-Straight-Rails-Grey-4-5-V,Modern day,Trains,4.5/12 V,1980.0,32.0,0.0,,,,25.0,16.0,,,"Track, Train Track",Normal,,14639,2,32,Dark Gray,Light Gray
7851-1,8 Curved Rails Grey 4.5 V,/sets/7851-1/8-Curved-Rails-Grey-4-5-V,Modern day,Trains,4.5/12 V,1980.0,32.0,0.0,,,,12.0,9.0,5.0,1.0,"Track, Train Track",Normal,,7547,3,32,Dark Gray,Light Gray
7852-1,Left and Right Points Manual Grey 4.5 V,/sets/7852-1/Left-and-Right-Points-Manual-Grey-4-5-V,Modern day,Trains,4.5/12 V,1980.0,14.0,0.0,/inventories/7852-1,,,8.0,7.0,5.0,2.0,"4.5V, Track, Train Track",Normal,,15931,6,14,Dark Gray,Black
7853-1,"Crossing, Grey 4.5 V",/sets/7853-1/Crossing-Grey-4-5-V,Modern day,Trains,4.5/12 V,1980.0,5.0,0.0,,,,8.0,7.0,,,"Track, Train Track",Normal,,6294,2,5,Dark Gray,Light Gray
7854-1,8 Straight Electric Rails Grey 12 V,/sets/7854-1/8-Straight-Electric-Rails-Grey-12-V,Modern day,Trains,4.5/12 V,1980.0,8.0,0.0,,,,24.0,15.0,4.0,1.0,"12V, Electric, Track, Train Track",Normal,,8933,1,8,Light Gray,Light Gray
7855-1,8 Curved Electric Rails Grey 12 V,/sets/7855-1/8-Curved-Electric-Rails-Grey-12-V,Modern day,Trains,4.5/12 V,1980.0,8.0,0.0,,,,11.0,7.0,,,"12V, Electric, Track, Train Track",Normal,,11519,1,8,Light Gray,Light Gray
7856-1,Left and Right Manual Points with Electric Rails Grey 12 V,/sets/7856-1/Left-and-Right-Manual-Points-with-Electric-Rails-Grey-12-V,Modern day,Trains,4.5/12 V,1980.0,16.0,0.0,/inventories/7856-1,,,44.0,36.0,,,"12V, Electric, Track, Train Track",Normal,,707,7,16,Dark Gray,Light Gray
7857-1,"Crossing, Electric Rails Grey 12 V",/sets/7857-1/Crossing-Electric-Rails-Grey-12-V,Modern day,Trains,4.5/12 V,1980.0,5.0,0.0,,,,12.0,8.0,,,"12V, Electric, Track, Train Track",Normal,,4529,2,5,Dark Gray,Light Gray
7858-1,Remote Controlled Points Right 12 V,/sets/7858-1/Remote-Controlled-Points-Right-12-V,Modern day,Trains,4.5/12 V,1980.0,12.0,0.0,/inventories/7858-1,,,73.0,40.0,,,"12V, Electric, Electric Motor, Train Track",Normal,Box,15027,9,12,Light Gray,Dark Gray
7859-1,Remote Controlled Points Left 12 V,/sets/7859-1/Remote-Controlled-Points-Left-12-V,Modern day,Trains,4.5/12 V,1980.0,12.0,0.0,/inventories/7859-1,,,91.0,41.0,,,"12V, Electric, Electric Motor, Train Track",Normal,,13817,9,12,Light Gray,Dark Gray
7860-1,Remote Controlled Signal 12 V,/sets/7860-1/Remote-Controlled-Signal-12-V,Modern day,Trains,4.5/12 V,1980.0,24.0,0.0,/inventories/7860-1,,,138.0,75.0,4.5,2.0,"12V, Electric, Light Brick, Train Accessory, Train Track",Normal,,6109,13,25,Light Gray,Dark Gray
7861-1,Lighting Set Electric 12 V,/sets/7861-1/Lighting-Set-Electric-12-V,Modern day,Trains,4.5/12 V,1980.0,28.0,0.0,,,,46.0,24.0,4.0,1.0,"12V, Electric, Light Brick, Train Accessory",Normal,,7970,7,28,Trans-Clear,Light Gray
7863-1,Remote Controlled Point Motor 12 V,/sets/7863-1/Remote-Controlled-Point-Motor-12-V,Modern day,Trains,4.5/12 V,1980.0,7.0,0.0,/inventories/7863-1,,,52.0,42.0,3.0,1.0,"12V, Electric, Electric Motor, Train Accessory",Normal,,1903,6,7,Light Gray,Black
7864-1,Transformer / Speed Controller 12 V,/sets/7864-1/Transformer-Speed-Controller-12-V,Modern day,Trains,4.5/12 V,1980.0,33.0,0.0,,,,73.0,27.0,3.5,2.0,"12V, Electric, Power Adapter, Train Accessory",Normal,,11517,20,34,Black,Light Gray
7865-1,Motor Replacement Unit for Battery or Motor-Less Trains 12 V,/sets/7865-1/Motor-Replacement-Unit-for-Battery-or-Motor-Less-Trains-12-V,Modern day,Trains,4.5/12 V,1980.0,19.0,0.0,,,,188.0,92.0,4.0,1.0,"12V, Electric, Electric Motor, Train Accessory",Normal,,15202,7,19,Light Gray,Black
8857-2,Motorcycles,/sets/8857-2/Motorcycles,Technical,Technic,,1980.0,377.0,0.0,,,49.5,,79.0,,,"Motor Trike, Motorcycle, Sidecar",Normal,Box,13499,93,409,Light Gray,Black
8858-2,Auto Engines,/sets/8858-2/Auto-Engines,Technical,Technic,,1980.0,460.0,0.0,,,69.0,,95.0,5.0,2.0,,Normal,Box,12585,46,242,Blue,Light Gray
8860-1,Car Chassis,/sets/8860-1/Car-Chassis,Technical,Technic,,1980.0,668.0,0.0,,,59.0,661.0,94.0,4.7,19.0,"20 Wide Car, Flagship Set, Super Car",Normal,Box,6593,117,676,Black,Light Gray
3601-1,Elton Elephant,/sets/3601-1/Elton-Elephant,Junior,Fabuland,,1981.0,6.0,1.0,,/minifigs/inset-3601-1,,,8.0,3.0,1.0,,Normal,,7202,6,7,Yellow,Brown
3629-1,Barney Bear,/sets/3629-1/Barney-Bear,Junior,Fabuland,,1981.0,16.0,1.0,,/minifigs/inset-3629-1,,52.0,9.0,,,Car,Normal,,1157,12,17,Red,Yellow
3635-1,Bonnie Bunny's Camper,/sets/3635-1/Bonnie-Bunny-s-Camper,Junior,Fabuland,,1981.0,25.0,1.0,,/minifigs/inset-3635-1,,125.0,16.0,3.5,2.0,"Camper, Camper Van, Car",Normal,,8457,21,34,Blue,Red
6075-2,Castle,/sets/6075-2/Castle,Historical,Castle,Classic,1981.0,767.0,14.0,,/minifigs/inset-6075-2,48.0,,345.0,5.0,1.0,"Baseplate, Brick Built Animals, Castle, Classic Knights, Drawbridge, Enclosed Fortress, Horse",Normal,,14978,88,774,Yellow,Light Gray
6077-1,Knight's Procession,/sets/6077-1/Knight-s-Procession,Historical,Castle,Classic,1981.0,48.0,6.0,,/minifigs/inset-6077-1,5.0,,43.0,4.0,1.0,"Cart, Classic Knights",Normal,Box,15161,21,49,Light Gray,Black
6083-1,Knight's Joust,/sets/6083-1/Knight-s-Joust,Historical,Castle,Classic,1981.0,211.0,6.0,,/minifigs/inset-6083-1,16.0,,195.0,,,"Baseplate, Brick Built Animals, Classic Knights, Horse, Tent, Tournaments",Normal,Box,2922,76,210,White,Black
6365-1,Summer Cottage,/sets/6365-1/Summer-Cottage,Modern day,Town,Leisure,1981.0,144.0,1.0,,/minifigs/inset-6365-1,,211.0,32.0,4.7,6.0,"Baseplate, Bedroom, House, Kitchen",Normal,Box,9824,58,157,Yellow,Red
6382-1,Fire Station,/sets/6382-1/Fire-Station,Modern day,Town,Fire,1981.0,390.0,4.0,,/minifigs/inset-6382-1,25.0,417.0,53.0,4.7,10.0,"Bedroom, Fire Station, Fire Truck, Road Baseplate, Truck",Normal,Box,1406,99,396,Red,Black
6383-1,Public Works Center,/sets/6383-1/Public-Works-Center,Modern day,Town,Maintenance,1981.0,421.0,4.0,,/minifigs/inset-6383-1,30.0,799.0,266.0,5.0,6.0,"Construction, Crane, Dump Truck, Front Loader, Road Baseplate, Service Station, Service Vehicle, Tipper Truck",Normal,Box,13584,106,420,Yellow,Blue
6600-1,Police Patrol,/sets/6600-1/Police-Patrol,Modern day,Town,Classic,1981.0,23.0,1.0,,/minifigs/inset-6600-1,,,20.0,3.5,2.0,"Police, Police Car",Normal,Box,7418,16,23,Black,White
6602-1,Fire Unit I,/sets/6602-1/Fire-Unit-I,Modern day,Town,Classic,1981.0,29.0,1.0,,/minifigs/inset-6602-1,,,6.0,2.0,1.0,"Fire, Fire Car",Normal,Box,6081,15,25,Red,Black
6610-1,Gas Pumps,/sets/6610-1/Gas-Pumps,Modern day,Town,Shops and Services,1981.0,29.0,1.0,,/minifigs/inset-6610-1,,84.0,8.0,4.3,3.0,"Service Station, Shell",Normal,Box,4361,16,29,White,Yellow
6611-1,Fire Chief's Car,/sets/6611-1/Fire-Chief-s-Car,Modern day,Town,Fire,1981.0,20.0,1.0,,/minifigs/inset-6611-1,,88.0,3.0,4.0,3.0,"Fire, Fire Car",Normal,Box,4893,16,21,Black,Red
6626-1,Rescue Helicopter,/sets/6626-1/Rescue-Helicopter,Modern day,Town,Classic,1981.0,37.0,0.0,,,,,14.0,,,"Aircraft, Ambulance, Helicopter, Medical",Normal,Box,12330,22,37,White,Light Gray
6628-1,Shell Tow Truck,/sets/6628-1/Shell-Tow-Truck,Modern day,Town,Vehicles,1981.0,38.0,0.0,,,,53.0,5.0,3.8,5.0,"Service Vehicle, Shell, Tow Truck, Truck",Normal,Box,4360,23,38,Red,White
6629-1,Ambulance,/sets/6629-1/Ambulance,Modern day,Town,Medical,1981.0,39.0,1.0,,/minifigs/inset-6629-1,,110.0,5.0,4.0,2.0,"Ambulance, Car, Convertible, Medical",Normal,Box,13595,24,39,White,Black
6630-1,Bucket Loader,/sets/6630-1/Bucket-Loader,Modern day,Town,Construction,1981.0,34.0,1.0,,/minifigs/inset-6630-1,,125.0,5.0,4.3,3.0,"Construction, Front Loader",Normal,Box,13442,23,34,Yellow,Black
6650-1,Fire and Rescue Van,/sets/6650-1/Fire-and-Rescue-Van,Modern day,Town,Fire,1981.0,46.0,1.0,,/minifigs/inset-6650-1,,127.0,7.0,4.0,2.0,"Fire, Fire Truck, Truck",Normal,Box,7977,31,46,Red,Black
6680-1,Ambulance,/sets/6680-1/Ambulance,Modern day,Town,Medical,1981.0,63.0,2.0,,/minifigs/inset-6680-1,,148.0,13.0,5.0,2.0,"Ambulance, Medical",Normal,Box,11676,39,63,White,Black
6681-1,Police Van,/sets/6681-1/Police-Van,Modern day,Town,Police,1981.0,82.0,1.0,,/minifigs/inset-6681-1,,500.0,9.0,4.7,3.0,"Police, Police Car, Truck, Van",Normal,Box,13578,42,82,Black,White
6691-1,Red Cross Helicopter,/sets/6691-1/Red-Cross-Helicopter,Modern day,Town,Medical,1981.0,107.0,2.0,,/minifigs/inset-6691-1,,78.0,13.0,4.3,3.0,"Aircraft, Ambulance, Helicopter, Medical, Propeller Aircraft",Normal,Box,7195,55,107,White,Light Gray
6801-1,Moon Buggy,/sets/6801-1/Moon-Buggy,Action/Adventure,Space,Classic,1981.0,22.0,1.0,,/minifigs/inset-6801-1,,70.0,9.0,4.7,6.0,Spaceship,Normal,,13181,18,22,Light Gray,Black
6822-1,Space Digger,/sets/6822-1/Space-Digger,Action/Adventure,Space,Classic,1981.0,33.0,1.0,,/minifigs/inset-6822-1,,52.0,6.0,3.7,6.0,Spaceship,Normal,,9431,22,35,Light Gray,Black
6842-1,Small Space Shuttle Craft,/sets/6842-1/Small-Space-Shuttle-Craft,Action/Adventure,Space,Classic,1981.0,46.0,1.0,,/minifigs/inset-6842-1,,113.0,9.0,3.6,5.0,"Classic Space Logo, Spaceship",Normal,,9120,30,46,White,Light Gray
6870-1,Space Probe Launcher,/sets/6870-1/Space-Probe-Launcher,Action/Adventure,Space,Classic,1981.0,60.0,1.0,,/minifigs/inset-6870-1,,112.0,10.0,3.3,6.0,"Ground Vehicle, Launcher, Spaceship",Normal,Box,13345,34,60,Light Gray,White
6927-1,All-Terrain Vehicle,/sets/6927-1/All-Terrain-Vehicle,Action/Adventure,Space,Classic,1981.0,170.0,2.0,,/minifigs/inset-6927-1,14.5,299.0,42.0,4.5,8.0,"Ground Vehicle, Mobile Base",Normal,,12490,74,173,White,Blue
6929-1,Star Fleet Voyager,/sets/6929-1/Star-Fleet-Voyager,Action/Adventure,Space,Classic,1981.0,242.0,1.0,,/minifigs/inset-6929-1,15.0,650.0,62.0,4.8,12.0,Spaceship,Normal,,3909,91,246,Light Gray,White
7725-1,Electric Passenger Train Set,/sets/7725-1/Electric-Passenger-Train-Set,Modern day,Trains,4.5/12 V,1981.0,485.0,1.0,,/minifigs/inset-7725-1,70.0,986.0,181.0,4.4,5.0,"12V, Deutsche Bundesbahn, Electric, Electric Locomotive, Electric Motor, Multibuild, Passenger Coach, Passenger Train, Public Transport, Train Track",Normal,,6229,70,490,Black,Red
7862-1,Remote Controlled Decoupling and Signal 12 V,/sets/7862-1/Remote-Controlled-Decoupling-and-Signal-12-V,Modern day,Trains,4.5/12 V,1981.0,16.0,0.0,,,,158.0,90.0,3.0,1.0,"12V, Electric, Train Accessory, Train Track",Normal,,15704,12,16,Light Gray,Dark Gray
8710-1,Technical Elements,/sets/8710-1/Technical-Elements,Technical,Technic,Supplementary,1981.0,124.0,0.0,/inventories/8710-1,,,49.0,34.0,4.0,1.0,,Normal,Box,1292,31,124,Light Gray,Yellow
8844-1,Helicopter,/sets/8844-1/Helicopter,Technical,Technic,,1981.0,316.0,0.0,,,,131.0,27.0,4.3,3.0,"Aircraft, Helicopter, Propeller Aircraft",Normal,Box,14573,65,320,Light Gray,Black
8845-1,Dune Buggy,/sets/8845-1/Dune-Buggy,Technical,Technic,,1981.0,174.0,0.0,,,20.0,295.0,20.0,3.6,8.0,"Dune Buggy, Functional Steering, Off Roader, Sprung",Normal,Box,2733,57,176,Light Gray,Red
8848-1,Power Truck,/sets/8848-1/Power-Truck,Technical,Technic,,1981.0,398.0,0.0,,,,425.0,49.0,4.2,6.0,"Front Loader, Tipper Truck, Truck",Normal,Box,2926,94,398,Black,Light Gray
8859-1,Tractor,/sets/8859-1/Tractor,Technical,Technic,,1981.0,610.0,0.0,,,,,105.0,3.7,6.0,"Flagship Set, Tractor",Normal,Box,6231,107,615,Black,Light Gray
1590-2,Breakdown Assistance,/sets/1590-2/Breakdown-Assistance,Modern day,Town,Special,1982.0,233.0,4.0,,/minifigs/inset-1590-2,,,166.0,4.0,1.0,"ANWB, Car, Netherlands, Pedestrian Crossing, Road Baseplate, Service Station, Service Vehicle, Tow Truck, Transport Vehicle",Normal,Box,3397,109,266,Yellow,Black
3654-1,Lisa Lamb's House,/sets/3654-1/Lisa-Lamb-s-House,Junior,Fabuland,,1982.0,32.0,1.0,,/minifigs/inset-3654-1,10.0,140.0,16.0,,,"Baseplate, House",Normal,,4434,22,50,Yellow,Red
3666-1,Billy Bear and Mortimer Mouse's Service Station,/sets/3666-1/Billy-Bear-and-Mortimer-Mouse-s-Service-Station,Junior,Fabuland,,1982.0,28.0,2.0,,/minifigs/inset-3666-1,,,99.0,,,"Baseplate, Motor Trike, Service Station, Service Vehicle, Tow Truck",Normal,,11865,19,30,Yellow,Blue
3667-1,Pat and Freddy's Shop,/sets/3667-1/Pat-and-Freddy-s-Shop,Junior,Fabuland,,1982.0,58.0,2.0,,/minifigs/inset-3667-1,,,79.0,4.0,1.0,"Baseplate, Shop",Normal,,9670,29,65,Yellow,Red
3669-1,Fire Station,/sets/3669-1/Fire-Station,Junior,Fabuland,,1982.0,33.0,3.0,,/minifigs/inset-3669-1,,,49.0,,,"Baseplate, Camera, Fire Car, Fire Station, Motor Trike, Motorcycle",Normal,,11289,24,32,Blue,Red
3672-1,The Motel,/sets/3672-1/The-Motel,Junior,Fabuland,,1982.0,60.0,3.0,,/minifigs/inset-3672-1,,,90.0,5.0,1.0,"Baseplate, Hotel",Normal,,3591,29,64,Red,Yellow
3678-1,Lionel Lion's Lodge,/sets/3678-1/Lionel-Lion-s-Lodge,Junior,Fabuland,,1982.0,123.0,4.0,,/minifigs/inset-3678-1,,,224.0,,,"Baseplate, Car",Normal,,8509,44,117,Yellow,Red
3708-1,Rufus Rabbit,/sets/3708-1/Rufus-Rabbit,Junior,Fabuland,,1982.0,3.0,1.0,,/minifigs/inset-3708-1,,22.0,6.0,3.5,2.0,,Normal,,6737,3,4,Tan,Earth Orange
4005-1,Tug Boat,/sets/4005-1/Tug-Boat,Modern day,Boats,,1982.0,66.0,1.0,,/minifigs/inset-4005-1,10.0,,23.0,4.4,8.0,"Boat, Floats On Water, Ship",Normal,Box,8935,44,66,White,Black
4015-1,Freighter,/sets/4015-1/Freighter,Modern day,Boats,,1982.0,80.0,2.0,,/minifigs/inset-4015-1,,,63.0,4.0,7.0,"Boat, Cargo Ship, Container Ship, Floats On Water, Ship",Normal,Box,10526,50,80,White,Black
