set_no,name,url,theme_group,theme,subtheme,year,piece_cnt,minifig_cnt,inventory_url,minifig_url,price_store,price_new,price_used,rating_value,rating_votes,tags,set_type,packaging,inventory_id,number_parts,total_parts,1st_color,2nd_color
70320-1,Aaron Fox's Aero-Striker V2,/sets/70320-1/Aaron-Fox-s-Aero-Striker-V2,Action/Adventure,Nexo Knights,Season 2,2016.0,301.0,3.0,/inventories/70320-1,/minifigs/inset-70320-1,29.99,22.0,15.0,,,"Aaron Bot, Aaron Fox, Ash Attacker, 2nd Wave, Aero Striker, Aircraft, Knighton",Normal,Box,10817,147,316,Light Bluish Gray,Blue
70321-1,General Magmar's Siege Machine of Doom,/sets/70321-1/General-Magmar-s-Siege-Machine-of-Doom,Action/Adventure,Nexo Knights,Season 2,2016.0,516.0,3.0,/inventories/70321-1,/minifigs/inset-70321-1,49.99,44.0,28.0,4.0,1.0,"Clay Moorington, Flama, General Magmar, 2nd Wave, Catapult, Converts, Globlins, Hover Horse, Lava Monster Army, Nexo Knights Books, Spooky",Normal,Box,16132,184,537,Black,Dark Brown
70322-1,Axl's Tower Carrier,/sets/70322-1/Axl-s-Tower-Carrier,Action/Adventure,Nexo Knights,Season 2,2016.0,670.0,4.0,/inventories/70322-1,/minifigs/inset-70322-1,69.99,51.0,39.0,4.0,1.0,"Ash Attacker, Axl Bot, Axl, 2nd Wave, Brick Built Figure, Brick Built Lava Monster, Burnzie, Globlins, Knighton, Nexo Knights Books",Normal,Box,4821,295,696,Light Bluish Gray,Dark Bluish Gray
70323-1,Jestro's Volcano Lair,/sets/70323-1/Jestro-s-Volcano-Lair,Action/Adventure,Nexo Knights,Season 2,2016.0,1186.0,10.0,/inventories/70323-1,/minifigs/inset-70323-1,119.99,107.0,67.0,4.0,1.0,"Ash Attacker, Axl, Bookkeeper, Jestro, Lance Richmond, Lavaria, Macy Halbert, Scurrier, 2nd Wave, Aircraft, Bathroom, Bedroom, Book Of Monsters, Castle, Chicken, Dungeon, Evil Lair, Fresh Produce, Globlins, Hover Horse, Kitchen, Lava Monster Army, Library, Monstrox, Nexo Knights Books, Spider, Spooky, Throne, Volcano",Normal,Box,15587,433,1251,Black,Dark Bluish Gray
70324-1,Merlok's Library 2.0,/sets/70324-1/Merlok-s-Library-2-0,Action/Adventure,Nexo Knights,Season 1,2016.0,288.0,3.0,/inventories/70324-1,/minifigs/inset-70324-1,24.99,22.0,22.0,3.7,3.0,"Ava, Crust Smasher, Lance Richmond, 1St Wave, Aircraft, Bat, Castle, Glider, Knighton, Library, Nexo Knights Books",Normal,Box,4017,120,257,Light Bluish Gray,Blue
70325-1,Infernox captures the Queen,/sets/70325-1/Infernox-captures-the-Queen,Action/Adventure,Nexo Knights,Season 1,2016.0,253.0,2.0,/inventories/70325-1,/minifigs/inset-70325-1,24.99,21.0,16.0,5.0,4.0,"Aaron Fox, Queen Halbert, 1St Wave, Brick Built Figure, Brick Built Lava Monster, Globlins, Hover Horse, Lava Monster Army",Normal,Box,14006,129,251,Black,Dark Bluish Gray
70326-1,The Black Knight Mech,/sets/70326-1/The-Black-Knight-Mech,Action/Adventure,Nexo Knights,Season 2,2016.0,530.0,4.0,/inventories/70326-1,/minifigs/inset-70326-1,39.99,45.0,36.0,5.0,1.0,"Ash Attacker, King's Bot, Robin Underwood, Whiperella, 2nd Wave, Cage, Catapult, Hover Horse, Knighton, Mech",Normal,Box,13758,202,552,Black,Blue
70327-1,The King's Mech,/sets/70327-1/The-King-s-Mech,Action/Adventure,Nexo Knights,Season 1,2016.0,375.0,3.0,/inventories/70327-1,/minifigs/inset-70327-1,29.99,31.0,29.0,5.0,3.0,"Flame Thrower, King Halbert, King's Bot, 1St Wave, Aircraft, Knighton, Mech",Normal,Box,9011,145,354,Light Bluish Gray,Dark Bluish Gray
70330-1,Ultimate Clay,/sets/70330-1/Ultimate-Clay,Action/Adventure,Nexo Knights,Ultimate,2016.0,72.0,1.0,/inventories/70330-1,/minifigs/inset-70330-1,9.99,10.0,9.0,4.3,4.0,"Clay Moorington, 1St Wave, App Powered, Knighton",Normal,Box with backing card,14554,47,78,Blue,Dark Blue
70331-1,Ultimate Macy,/sets/70331-1/Ultimate-Macy,Action/Adventure,Nexo Knights,Ultimate,2016.0,101.0,1.0,/inventories/70331-1,/minifigs/inset-70331-1,9.99,7.0,5.0,4.3,3.0,"Macy Halbert, 1St Wave, App Powered, Knighton",Normal,Box with backing card,8217,64,109,Trans-Red,Flat Silver
70332-1,Ultimate Aaron,/sets/70332-1/Ultimate-Aaron,Action/Adventure,Nexo Knights,Ultimate,2016.0,82.0,1.0,/inventories/70332-1,/minifigs/inset-70332-1,9.99,14.0,8.0,4.5,6.0,"Aaron Fox, 1St Wave, App Powered, Fresh Produce, Knighton",Normal,Box with backing card,13963,49,87,Dark Bluish Gray,Trans-Bright Green
70333-1,Ultimate Robin,/sets/70333-1/Ultimate-Robin,Action/Adventure,Nexo Knights,Ultimate,2016.0,75.0,1.0,/inventories/70333-1,/minifigs/inset-70333-1,9.99,8.0,7.0,4.0,2.0,"Robin Underwood, 1St Wave, App Powered, Knighton",Normal,Box with backing card,8342,43,76,Dark Bluish Gray,Blue
853556-1,Friends Mini-Doll Campsite Set,/sets/853556-1/Friends-Mini-Doll-Campsite-Set,Girls,Friends,Adventure Camp,2016.0,35.0,3.0,,/minifigs/inset-853556-1,14.99,9.0,,3.0,1.0,"Kate, Liza, Maya, Bbq, Camping",Extended,Blister pack,1749,28,35,Black,Light Flesh
