set_no,name,price_store,price_used,popularity,group,year,total_parts,number_parts,number_colors,scolor_1st,scolor_2nd
6594-1,Gas Transit,13.25,14.0,24.0,Modern day,1992.0,127,70,10,White,Black
6648-1,Mag Racer,7.25,5.0,10.0,Modern day,1992.0,64,39,8,White,Black
6662-1,Backhoe,7.25,11.0,10.0,Modern day,1992.0,87,56,10,Yellow,Black
6668-1,Recycle Truck,9.25,10.0,20.0,Modern day,1992.0,109,65,10,Red,Gray
6897-1,Rebel Hunter,21.0,32.0,66.0,Action/Adventure,1992.0,146,65,8,Black,Gray
6957-1,Solar Snooper,36.0,71.0,28.200000000000003,Action/Adventure,1992.0,253,89,8,Black,Gray
6984-1,Galactic Mediator,60.0,136.0,44.0,Action/Adventure,1992.0,406,139,8,Black,Gray
1547-1,Black Knights Boat,4.25,25.0,15.2,Historical,1993.0,60,43,8,Black,Red
1596-1,Ghostly Hideout,4.25,24.0,36.8,Historical,1993.0,37,32,9,Black,Green
1916-1,Starion Patrol,2.0,12.0,21.0,Action/Adventure,1993.0,25,20,7,Gray,Black
1992-1,Dragsters,7.75,10.0,,Modern day,1993.0,108,49,11,Black,White
4537-1,Twin Tank Transporter,23.0,43.0,10.0,Modern day,1993.0,177,78,10,White,Black
4547-1,Railroad Club Car,37.5,156.0,15.0,Modern day,1993.0,295,85,9,Gray,Black
4549-1,Road 'N Rail Hauler,52.0,96.0,15.0,Modern day,1993.0,450,168,12,Red,Black
5521-1,Sea Jet,36.5,44.0,5.0,Model making,1993.0,400,146,7,Red,White
5581-1,Magic Flash,79.0,100.0,10.0,Model making,1993.0,803,245,11,Black,Gray
6020-1,Magic Shop,4.5,11.0,49.5,Historical,1993.0,47,33,13,Black,Brown
6043-1,Dragon Defender,12.0,17.0,44.0,Historical,1993.0,158,73,9,Black,Red
6048-1,Majisto's Magical Workshop,26.0,37.0,39.6,Historical,1993.0,192,82,15,Black,Gray
6056-1,Dragon Wagon,20.0,27.0,25.799999999999997,Historical,1993.0,109,73,8,Black,Red
