set_no,name,price_store,price_used,popularity,group,year,total_parts,number_parts,number_colors,scolor_1st,scolor_2nd
6433-1,Coast Watch,30.0,13.0,12.899999999999999,Modern day,1999.0,89,57,13,Black,White
6434-1,Roadside Repair,50.0,20.0,16.0,Modern day,1999.0,213,97,13,Black,Red
6435-1,Coast Guard HQ,66.0,50.0,4.0,Modern day,1999.0,217,132,16,White,Black
6437-1,Beach Buggy,3.0,2.0,46.800000000000004,Modern day,1999.0,29,20,9,Black,White
6439-1,Mini Dumper,3.0,3.0,6.8999999999999995,Modern day,1999.0,30,21,8,Yellow,Black
6452-1,Mini Rocket Launcher,3.0,3.0,21.0,Modern day,1999.0,35,30,10,White,Gray
6453-1,Com-Link Cruiser,6.0,6.0,36.9,Modern day,1999.0,61,41,9,White,Black
6454-1,Countdown Corner,20.0,20.0,28.200000000000003,Modern day,1999.0,136,70,13,White,Black
6455-1,Space Simulation Station,30.0,22.0,23.0,Modern day,1999.0,267,148,14,White,Gray
6456-1,Mission Control,79.99,51.0,35.0,Modern day,1999.0,501,240,15,White,Black
6457-1,Astronaut Figure,2.0,5.0,18.0,Modern day,1999.0,18,15,6,White,Blue
6458-1,Satellite with Astronaut,3.0,10.0,15.2,Modern day,1999.0,32,25,8,White,Gray
6459-1,Fuel Truck,15.0,13.0,7.0,Modern day,1999.0,120,69,12,White,Black
6463-1,Lunar Rover,4.0,5.0,40.7,Modern day,1999.0,38,27,8,White,Black
6464-1,Super Rescue Complex,76.0,43.0,22.200000000000003,Modern day,1999.0,361,185,14,White,Black
6467-1,Power Pitstop,10.0,10.0,18.0,Modern day,1999.0,74,53,10,Yellow,Black
6468-1,Tow-n-Go Value Pack,7.0,6.0,4.0,Modern day,1999.0,50,32,10,Black,Yellow
7101-1,Lightsaber Duel,6.0,19.0,109.2,Licensed,1999.0,52,31,9,Gray,Tan
7110-1,Landspeeder,6.0,17.0,124.0,Licensed,1999.0,49,29,10,Tan,Red
7111-1,Droid Fighter,6.0,6.0,140.4,Licensed,1999.0,64,30,6,Brown,Gray
7121-1,Naboo Swamp,10.0,16.0,88.2,Licensed,1999.0,83,35,11,Brown,Tan
7128-1,Speeder Bikes,10.0,20.0,119.6,Licensed,1999.0,94,40,11,Gray,Brown
7130-1,Snowspeeder,20.0,28.0,99.0,Licensed,1999.0,220,102,12,Gray,Gray
7131-1,Anakin's Podracer,15.0,16.0,41.0,Licensed,1999.0,140,72,11,Blue,Gray
7140-1,X-wing Fighter,30.0,47.0,124.19999999999999,Licensed,1999.0,272,118,14,Gray,Gray
7141-1,Naboo Fighter,20.0,18.0,51.599999999999994,Licensed,1999.0,183,91,13,Yellow,Gray
7150-1,TIE Fighter & Y-wing,50.0,58.0,54.6,Licensed,1999.0,410,132,12,Gray,Gray
7151-1,Sith Infiltrator,30.0,26.0,48.400000000000006,Licensed,1999.0,245,79,9,Gray,Gray
7161-1,Gungan Sub,50.0,44.0,46.8,Licensed,1999.0,382,128,16,Blue,Gray
7171-1,Mos Espa Podrace,90.0,72.0,58.5,Licensed,1999.0,926,224,16,Gray,Black
1272-1,Blue Racer,3.95,3.0,,Modern day,2000.0,24,15,5,Black,Blue
1349-1,Steven Spielberg Moviemaker Set,180.0,90.0,39.0,Modern day,2000.0,460,190,16,Black,Gray
3340-1,"Emperor Palpatine, Darth Maul and Darth Vader Minifig Pack - Star Wars #1",5.0,44.0,20.0,Licensed,2000.0,30,18,7,Black,Gray
3341-1,"Luke Skywalker, Han Solo and Boba Fett Minifig Pack - Star Wars #2",5.0,36.0,12.0,Licensed,2000.0,25,21,9,Black,Gray
3342-1,Chewbacca and 2 Biker Scouts Minifig Pack - Star Wars #3,5.0,34.0,14.100000000000001,Licensed,2000.0,26,16,7,Gray,White
3343-1,2 Battle Droids and Command Officer Minifig Pack - Star Wars #4,5.0,12.0,20.0,Licensed,2000.0,36,18,5,Tan,Gray
3346-1,Three Minifig Pack - Ninja #3,5.0,85.0,20.0,Historical,2000.0,26,18,8,White,Green
3350-1,Three Minifig Pack - City #1,5.0,12.0,5.0,Modern day,2000.0,29,25,7,Black,Blue
3351-1,Three Minifig Pack - City #2,5.0,17.0,10.0,Modern day,2000.0,24,20,8,Blue,Yellow
3401-1,Shoot 'n' Score,6.0,5.0,18.0,Modern day,2000.0,24,19,8,White,Yellow
3402-1,Stand with Lights,10.0,10.0,28.699999999999996,Modern day,2000.0,65,38,10,Gray,Blue
3403-1,Fans' Grandstand with Scoreboard,15.0,10.0,28.699999999999996,Modern day,2000.0,80,42,10,Blue,Black
3404-1,Black Team Transport,20.0,26.0,9.0,Modern day,2000.0,132,58,12,Black,White
3405-1,Blue Team Bus,20.0,20.0,14.100000000000001,Modern day,2000.0,130,58,12,White,Blue
3406-1,Americas Team Bus,20.0,18.0,21.0,Modern day,2000.0,130,58,12,Blue,White
3407-1,Red Team Transport,20.0,16.0,9.0,Modern day,2000.0,130,58,12,Red,White
3408-1,Super Sports Coverage,30.0,28.0,25.900000000000002,Modern day,2000.0,226,102,9,Blue,White
3409-1,Championship Challenge,50.0,46.0,47.0,Modern day,2000.0,295,60,10,White,Green
3410-1,Field Expander,15.0,8.0,20.0,Modern day,2000.0,53,22,8,Green,White
3412-1,Point Shooting,5.0,4.0,9.0,Modern day,2000.0,25,14,7,Black,White
3413-1,Goalkeeper,5.0,1.0,3.0,Modern day,2000.0,30,22,7,White,Gray
3414-1,Precision Shooting,5.0,2.0,5.0,Modern day,2000.0,23,18,6,White,Black
3439-1,Spy Runner,10.0,8.0,5.0,Modern day,2000.0,106,66,11,Black,White
3450-1,Statue of Liberty,199.0,971.0,28.200000000000003,Model making,2000.0,2903,49,3,Green,Yellow
3723-1,LEGO Mini-Figure,149.0,275.0,23.0,Model making,2000.0,1850,92,7,Red,Yellow
4801-1,Defence Archer,2.0,4.0,12.0,Historical,2000.0,15,12,6,Gray,Black
4806-1,Axe Cart,3.0,7.0,33.300000000000004,Historical,2000.0,28,21,6,Gray,Black
4807-1,Fire Attack,1.95,6.0,6.0,Historical,2000.0,24,18,7,Black,Gray
4816-1,Knights' Catapult,5.0,12.0,19.0,Historical,2000.0,52,35,9,Black,Gray
4817-1,Dungeon,5.0,9.0,18.0,Historical,2000.0,41,34,14,Gray,White
4818-1,Dragon Rider,5.0,15.0,17.2,Historical,2000.0,17,16,7,Black,Transparent
4819-1,Bulls' Attack Wagon,5.0,13.0,13.2,Historical,2000.0,50,35,8,Black,Gray
5903-1,Johnny Thunder and Baby T,2.0,5.0,16.799999999999997,Historical,2000.0,23,19,9,Black,White
5904-1,Microcopter,2.0,3.0,2.0,Historical,2000.0,29,24,9,Red,Green
5914-1,Sam Sanister and Baby T,3.0,6.0,19.799999999999997,Historical,2000.0,23,15,10,Gray,Black
5921-1,Research Glider,6.0,8.0,28.0,Historical,2000.0,58,40,10,Gray,Brown
5934-1,Dino Explorer,14.99,25.0,51.599999999999994,Historical,2000.0,91,54,12,Gray,Black
5935-1,Island Hopper,20.0,20.0,39.6,Historical,2000.0,209,79,14,Gray,Red
5955-1,All Terrain Trapper,30.0,29.0,18.0,Historical,2000.0,193,106,13,Blue,Black
5975-1,T-Rex Transport,50.0,53.0,41.4,Historical,2000.0,326,135,13,Black,Gray
5987-1,Dino Research Compound,80.0,81.0,57.599999999999994,Historical,2000.0,623,227,15,Gray,Black
6026-1,King Leo,5.0,10.0,51.800000000000004,Historical,2000.0,21,20,8,Gray,Gray
6032-1,Catapult Crusher,6.0,8.0,19.0,Historical,2000.0,58,34,8,Black,Gray
6091-1,King Leo's Castle,90.0,117.0,16.0,Historical,2000.0,544,186,15,Gray,Black
6094-1,Guarded Treasure,15.0,16.0,36.0,Historical,2000.0,103,49,11,Gray,Black
6095-1,Royal Joust,20.0,23.0,22.200000000000003,Historical,2000.0,111,73,16,Black,Gray
6096-1,Bull's Attack,50.0,45.0,22.0,Historical,2000.0,322,125,10,Gray,Black
6098-1,King Leo's Castle,90.0,99.0,30.099999999999998,Historical,2000.0,549,193,15,Gray,Black
6423-1,Mini Tow Truck,5.0,5.0,11.100000000000001,Modern day,2000.0,35,25,10,Black,White
6470-1,Mini Dump Truck,3.0,2.0,32.8,Modern day,2000.0,25,17,6,Yellow,Black
6471-1,4WD Police Patrol,5.0,3.0,30.599999999999998,Modern day,2000.0,30,20,8,White,Black
6474-1,4-Wheeled Front Shovel,7.0,4.0,22.0,Modern day,2000.0,50,34,10,Yellow,Black
6477-1,Fire Fighters' Lift Truck,20.0,11.0,9.0,Modern day,2000.0,106,53,10,White,Black
6478-1,Fire Fighters' HQ,50.0,31.0,11.200000000000001,Modern day,2000.0,228,113,13,White,Red
6519-1,Turbo Tiger,5.0,4.0,16.0,Modern day,2000.0,48,28,10,Black,Gray
6520-1,Mobile Outpost,29.99,25.0,32.199999999999996,Modern day,2000.0,226,119,16,Black,White
6573-1,Arctic Expedition,15.0,10.0,15.2,Modern day,2000.0,123,77,14,Black,Blue
6575-1,Polar Base,60.0,65.0,4.0,Modern day,2000.0,452,220,16,Black,Blue
6577-1,Snow Scooter,2.0,4.0,14.0,Modern day,2000.0,22,18,8,Black,Gray
6579-1,Ice Surfer,5.0,5.0,28.0,Modern day,2000.0,44,35,10,Black,Blue
6600-2,Highway Construction,80.0,111.0,32.0,Modern day,2000.0,323,128,14,Black,Yellow
6602-2,Scorpion Buggy,10.0,4.0,23.0,Modern day,2000.0,79,43,9,Black,Red
6616-1,Rocket Dragster,20.0,12.0,8.0,Modern day,2000.0,150,77,13,Black,Red
6617-1,Tough Truck Rally,50.0,23.0,9.0,Modern day,2000.0,394,154,15,Black,Gray
6619-1,Red Four Wheel Driver,2.0,2.0,6.0,Modern day,2000.0,20,12,6,Black,Yellow
6713-1,Grip 'n' Go Challenge,30.0,12.0,12.0,Modern day,2000.0,298,136,11,Black,Gray
6714-1,Speed Dragster,15.0,10.0,7.0,Modern day,2000.0,80,48,7,Black,Blue
7104-1,Desert Skiff,6.0,16.0,99.9,Licensed,2000.0,55,36,10,Brown,Black
7115-1,Gungan Patrol,10.0,26.0,79.2,Licensed,2000.0,85,41,10,Gray,Tan
7124-1,Flash Speeder,10.0,14.0,89.3,Licensed,2000.0,110,49,10,Green,Gray
7134-1,A-wing Fighter,15.0,18.0,44.0,Licensed,2000.0,126,59,12,Gray,Red
7144-1,Slave I,20.0,39.0,74.1,Licensed,2000.0,166,62,12,Gray,Green
7155-1,Trade Federation AAT,20.0,44.0,67.5,Licensed,2000.0,159,65,8,Tan,Gray
7180-1,B-wing at Rebel Control Center,30.0,32.0,43.0,Licensed,2000.0,349,115,16,Gray,Gray
7181-1,TIE Interceptor,100.0,201.0,28.799999999999997,Licensed,2000.0,707,143,9,Black,Gray
7184-1,Trade Federation MTT,50.0,59.0,46.2,Licensed,2000.0,469,88,10,Tan,Brown
7190-1,Millennium Falcon,100.0,157.0,58.5,Licensed,2000.0,673,142,15,Gray,Gray
7191-1,X-wing Fighter,150.0,345.0,57.599999999999994,Licensed,2000.0,1310,299,10,Gray,White
8000-1,Pit Droid,20.0,28.0,21.0,Licensed,2000.0,245,64,5,Black,Gray
8001-1,Battle Droid,30.0,37.0,28.200000000000003,Licensed,2000.0,363,86,6,Black,Tan
8002-1,Destroyer Droid,50.0,75.0,48.400000000000006,Licensed,2000.0,609,101,7,Gray,Black
1351-1,Movie Backdrop Studio,60.0,40.0,8.0,Modern day,2001.0,218,112,13,Black,Gray
1352-1,Explosion Studio,35.0,22.0,25.799999999999997,Modern day,2001.0,244,108,13,White,Black
1353-1,Car Stunt Studio,20.0,14.0,3.0,Modern day,2001.0,176,97,14,Black,Gray
1354-1,Dino Head Attack,10.0,6.0,24.0,Modern day,2001.0,98,57,12,Green,Black
1355-1,Temple of Gloom,7.0,4.0,38.699999999999996,Modern day,2001.0,61,42,11,Gray,Black
1356-1,Stuntman Catapult,4.0,5.0,48.400000000000006,Modern day,2001.0,29,22,6,Black,Gray
1357-1,Cameraman,2.0,5.0,46.2,Modern day,2001.0,25,22,7,White,Yellow
1360-1,Director's Copter,3.0,5.0,4.0,Modern day,2001.0,23,20,5,Gray,Black
1361-1,Camera Car,3.0,4.0,9.0,Modern day,2001.0,20,13,6,Gray,Black
1362-1,Air Boat,3.0,5.0,4.0,Modern day,2001.0,28,26,8,Black,Gray
1363-1,Stunt Go-Cart,3.0,2.0,2.0,Modern day,2001.0,26,17,6,Black,Gray
1370-1,Raptor Rumble,20.0,30.0,30.4,Modern day,2001.0,160,78,12,Black,Gray
1371-1,Spinosaurus Attack,35.0,51.0,19.2,Modern day,2001.0,189,103,12,White,Black
3416-1,Women's Team,9.95,10.0,7.0,Modern day,2001.0,68,37,10,Black,White
3451-1,Sopwith Camel,50.0,88.0,51.599999999999994,Model making,2001.0,584,196,10,Brown,Gray
3724-1,LEGO Dragon,99.0,248.0,5.0,Model making,2001.0,1538,67,8,Green,Red
3742-1,Tender,11.0,26.0,,Modern day,2001.0,41,20,3,Black,Gray
4171-1,Spot and Friends,3.0,3.0,4.0,Model making,2001.0,53,28,7,Yellow,White
4172-1,Tina's House,4.0,3.0,3.0,Model making,2001.0,44,26,8,Yellow,Blue
4173-1,Max's Pitstop,7.0,4.0,4.0,Model making,2001.0,59,33,10,Red,Black
4566-1,Gear,3.0,3.0,20.0,Racing,2001.0,7,6,4,Black,Blue
4567-1,Surfer,3.0,2.0,25.799999999999997,Racing,2001.0,7,6,3,Blue,Black
4568-1,Loopin,3.0,3.0,16.0,Racing,2001.0,7,6,3,Green,Black
4569-1,Warrior,3.0,5.0,22.799999999999997,Racing,2001.0,8,7,4,Black,Blue
4570-1,Shredd,3.0,2.0,7.0,Racing,2001.0,7,6,3,Gray,Black
4571-1,Spiky,3.0,4.0,15.2,Racing,2001.0,7,6,2,Black,Yellow
4572-1,Scratch,3.0,2.0,7.0,Racing,2001.0,7,6,4,Green,Black
4573-1,Lightor,3.0,3.0,27.3,Racing,2001.0,7,6,4,Black,Yellow
4574-1,Rip,3.0,2.0,12.0,Racing,2001.0,7,6,3,Blue,Black
4575-1,Pulse,3.0,4.0,9.899999999999999,Racing,2001.0,7,6,4,Black,Blue
4576-1,Duster,3.0,1.0,14.0,Racing,2001.0,7,6,2,Tan,Black
4577-1,Snake,3.0,5.0,17.2,Racing,2001.0,7,6,3,Black,Green
4578-1,Ghost,3.0,4.0,5.0,Racing,2001.0,7,6,4,Black,Yellow
4701-1,Sorting Hat,7.0,14.0,66.60000000000001,Licensed,2001.0,50,35,9,Black,Gray
4702-1,The Final Challenge,10.0,18.0,46.8,Licensed,2001.0,64,40,11,Gray,Black
4704-1,The Room of the Winged Keys,20.0,32.0,30.099999999999998,Licensed,2001.0,182,67,13,Black,Tan
4705-1,Snape's Class,20.0,32.0,48.400000000000006,Licensed,2001.0,169,80,19,Gray,Black
4706-1,Forbidden Corridor,30.0,46.0,40.0,Licensed,2001.0,240,79,14,Black,Gray
4707-1,Hagrid's Hut,30.0,49.0,25.799999999999997,Licensed,2001.0,304,113,16,Gray,Black
4708-1,Hogwarts Express,50.0,117.0,44.0,Licensed,2001.0,418,149,13,Black,Red
4709-1,Hogwarts Castle,90.0,121.0,67.5,Licensed,2001.0,705,235,26,Gray,Tan
4721-1,Hogwarts Classrooms,10.0,28.0,18.0,Licensed,2001.0,78,55,21,White,Yellow
4722-1,Gryffindor House,10.0,27.0,12.0,Licensed,2001.0,71,45,22,Yellow,Red
4723-1,Diagon Alley Shops,10.0,29.0,19.0,Licensed,2001.0,89,71,29,White,Red
5599-1,Radio Control Racer,80.0,45.0,,Racing,2001.0,294,127,8,Black,Yellow
6290-1,Red Beard Runner,99.99,174.0,45.0,Historical,2001.0,716,230,11,Black,White
6291-1,Armada Flagship,50.0,133.0,30.800000000000004,Historical,2001.0,298,153,12,Black,White
6292-1,Enchanted Island,70.0,132.0,28.200000000000003,Historical,2001.0,446,191,13,Black,Gray
6472-1,Gas N' Wash Express,50.0,112.0,8.0,Modern day,2001.0,485,189,14,White,Black
6771-1,Ogel Command Striker,4.0,4.0,49.5,Action/Adventure,2001.0,31,23,8,Black,Red
6772-1,Alpha Team Cruiser,7.0,4.0,32.199999999999996,Action/Adventure,2001.0,66,44,10,Black,Gray
6773-1,Alpha Team Helicopter,10.0,7.0,64.39999999999999,Action/Adventure,2001.0,80,59,12,Black,Gray
6774-1,Alpha Team ATV,20.0,13.0,38.699999999999996,Action/Adventure,2001.0,136,87,11,Black,Gray
6775-1,Alpha Team Bomb Squad,35.0,14.0,57.599999999999994,Action/Adventure,2001.0,203,111,12,Black,Yellow
6776-1,Ogel Control Center,50.0,44.0,25.799999999999997,Action/Adventure,2001.0,420,140,11,Black,Red
7000-1,Baby Ankylosaurus,3.0,3.0,12.899999999999999,Action/Adventure,2001.0,39,16,5,Black,Gray
7001-1,Baby Iguanodon,3.0,3.0,12.899999999999999,Action/Adventure,2001.0,23,15,3,Gray,Blue
7002-1,Baby Brachiosaurus,3.0,2.0,12.899999999999999,Action/Adventure,2001.0,31,14,3,Gray,Green
7003-1,Baby Dimetrodon,3.0,1.0,12.899999999999999,Action/Adventure,2001.0,21,14,3,Gray,Blue
7106-1,Droid Escape,6.0,16.0,83.60000000000001,Licensed,2001.0,48,27,7,White,Gray
7126-1,Battle Droid Carrier,10.0,22.0,86.39999999999999,Licensed,2001.0,133,42,9,Tan,Gray
7127-1,Imperial AT-ST,10.0,19.0,61.2,Licensed,2001.0,107,57,9,Gray,Gray
7146-1,TIE Fighter,20.0,26.0,64.5,Licensed,2001.0,174,65,13,Blue,Black
7166-1,Imperial Shuttle,35.0,71.0,77.39999999999999,Licensed,2001.0,240,97,13,White,Gray
7186-1,Watto's Junkyard,50.0,119.0,21.0,Licensed,2001.0,452,135,14,Black,Blue
7300-1,Double Hover,3.0,3.0,16.0,Action/Adventure,2001.0,22,18,8,Black,Gray
7301-1,Rover,3.0,5.0,11.100000000000001,Action/Adventure,2001.0,31,20,6,Gray,Black
7302-1,Worker Robot,3.0,5.0,17.0,Action/Adventure,2001.0,31,17,6,Black,Gray
7310-1,Mono Jet,4.0,3.0,48.0,Action/Adventure,2001.0,34,28,9,White,Black
7311-1,Red Planet Cruiser,7.0,5.0,32.8,Action/Adventure,2001.0,75,42,9,Gray,Gray
7312-1,T-3 Trike,10.0,9.0,45.0,Action/Adventure,2001.0,106,55,11,Black,White
7313-1,Red Planet Protector,20.0,13.0,30.800000000000004,Action/Adventure,2001.0,197,80,8,Gray,Gray
7314-1,Recon Mech RP,20.0,19.0,42.300000000000004,Action/Adventure,2001.0,197,76,12,Red,Gray
7315-1,Solar Explorer,35.0,34.0,23.0,Action/Adventure,2001.0,253,95,13,White,Black
7316-1,Excavation Searcher,50.0,28.0,16.0,Action/Adventure,2001.0,474,132,16,Gray,Gray
7317-1,Aero Tube Hanger,90.0,68.0,54.0,Action/Adventure,2001.0,728,195,23,Gray,Gray
8007-1,C-3PO,35.0,42.0,6.0,Licensed,2001.0,341,62,12,Black,Gray
8008-1,Stormtrooper,35.0,24.0,14.100000000000001,Licensed,2001.0,367,81,5,Black,White
10000-1,Guarded Inn,25.0,103.0,34.300000000000004,Historical,2001.0,261,105,9,Gray,Black
10001-1,Metroliner,149.0,307.0,18.0,Modern day,2001.0,791,188,11,Black,Gray
10002-1,Railroad Club Car,37.5,198.0,10.0,Modern day,2001.0,273,66,7,Gray,Black
10013-1,Open Freight Wagon,17.0,44.0,7.0,Modern day,2001.0,121,26,5,Black,Brown
10014-1,Caboose,15.0,44.0,12.0,Modern day,2001.0,173,55,8,Black,Red
10015-1,Green Passenger Wagon,19.99,58.0,12.899999999999999,Modern day,2001.0,197,42,9,Black,Green
10016-1,Tanker,20.0,52.0,6.0,Modern day,2001.0,128,41,5,Black,Red
10017-1,Hopper Wagon,20.0,50.0,5.0,Modern day,2001.0,229,46,6,Black,Tan
10018-1,Darth Maul,150.0,687.0,12.899999999999999,Licensed,2001.0,1871,112,11,Black,Red
10019-1,Rebel Blockade Runner,200.0,576.0,55.9,Licensed,2001.0,1756,252,12,White,Gray
1374-1,Green Goblin,7.0,31.0,49.4,Modern day,2002.0,60,41,14,Black,Tan
1376-1,Spider-Man Action Studio,30.0,29.0,25.900000000000002,Modern day,2002.0,253,108,17,Gray,Gray
1380-1,Werewolf Ambush,10.0,20.0,51.599999999999994,Modern day,2002.0,117,73,16,Brown,Black
1381-1,Vampire's Crypt,20.0,52.0,76.5,Modern day,2002.0,175,95,14,Black,Gray
1382-1,Scary Laboratory,50.0,40.0,49.0,Modern day,2002.0,515,183,22,Gray,Gray
1383-1,Curse of the Pharaoh,4.0,16.0,58.800000000000004,Modern day,2002.0,55,37,9,Tan,Gray
3420-1,Championship Challenge II,50.0,55.0,8.0,Modern day,2002.0,387,73,10,White,Red
3421-1,3 vs 3 Shootout,30.0,30.0,3.0,Modern day,2002.0,226,59,9,White,Red
3422-1,Shoot 'n' Save,20.0,19.0,5.0,Modern day,2002.0,115,68,9,White,Black
3423-1,Freekick Frenzy,10.0,5.0,3.0,Modern day,2002.0,55,35,9,White,Green
3424-1,Target Practice,7.0,3.0,25.200000000000003,Modern day,2002.0,37,24,8,White,Red
3425-1,US National Team Cup Edition Set,90.0,85.0,9.0,Modern day,2002.0,568,81,10,White,Red
3739-1,Blacksmith Shop,40.0,128.0,45.0,Historical,2002.0,633,142,13,Black,Gray
4534-1,LEGO Express,160.0,95.0,4.0,Modern day,2002.0,34,11,4,Gray,Black
4535-1,LEGO Express Deluxe,170.0,298.0,10.0,Modern day,2002.0,754,165,17,Black,Red
4582-1,Red Bullet,4.0,3.0,22.200000000000003,Racing,2002.0,31,21,7,Red,Black
4583-1,Maverick Storm,4.0,3.0,17.2,Racing,2002.0,41,24,7,Black,Green
4584-1,Hot Scorcher,10.0,5.0,28.799999999999997,Racing,2002.0,58,36,8,Black,Gray
4585-1,Nitro Pulverizer,10.0,4.0,28.799999999999997,Racing,2002.0,62,39,8,Black,Yellow
4586-1,Stunt Race Track,20.0,27.0,,Racing,2002.0,170,65,9,Black,Red
4587-1,Duel Racers,40.0,14.0,,Racing,2002.0,205,104,13,Black,Gray
4588-1,Off-Road Race Track,50.0,35.0,12.0,Racing,2002.0,369,120,18,Black,Gray
4589-1,RC Nitro Flash,70.0,52.0,3.0,Racing,2002.0,136,68,12,Green,Green
4590-1,Flash Turbo,4.0,1.0,4.0,Racing,2002.0,30,22,7,Black,Green
4591-1,Star Strike,4.0,3.0,19.0,Racing,2002.0,31,23,8,Black,Blue
4592-1,Red Monster,4.0,4.0,,Racing,2002.0,26,16,4,Black,Red
4593-1,Zero Hurricane and Red Blizzard,6.99,5.0,8.0,Racing,2002.0,80,53,14,Black,Gray
4594-1,Maverick Sprinter & Hot Arrow,7.0,4.0,14.0,Racing,2002.0,68,44,10,Black,Gray
4595-1,Zero Tornado & Hot Rock,10.0,5.0,5.0,Racing,2002.0,71,39,12,Black,Yellow
4711-1,Flying Lesson,4.0,9.0,60.8,Licensed,2002.0,24,17,6,Gray,Brown
4712-1,Troll on the Loose,10.0,25.0,62.4,Licensed,2002.0,73,42,10,Gray,Black
4714-1,Gringott's bank,30.0,37.0,38.699999999999996,Licensed,2002.0,265,105,15,Black,Gray
4726-1,Quidditch Practice,13.0,23.0,38.0,Licensed,2002.0,132,89,14,Gray,Green
4727-1,Aragog in the Dark Forest,20.0,26.0,20.0,Licensed,2002.0,186,89,12,Black,Brown
4728-1,Escape from Privet Drive,30.0,54.0,64.39999999999999,Licensed,2002.0,287,142,18,Blue,Gray
4729-1,Dumbledore's Office,50.0,73.0,43.199999999999996,Licensed,2002.0,458,145,18,Gray,Tan
4730-1,The Chamber of Secrets,70.0,144.0,51.599999999999994,Licensed,2002.0,601,170,22,Gray,Gray
4731-1,Dobby's Release,7.0,16.0,44.0,Licensed,2002.0,72,52,9,Gray,Tan
4733-1,The Dueling Club,20.0,31.0,24.0,Licensed,2002.0,134,68,10,Gray,Tan
4735-1,Slytherin,10.0,21.0,25.900000000000002,Licensed,2002.0,94,52,14,Black,Gray
4788-1,Ogel Mutant Ray,10.0,13.0,5.0,Action/Adventure,2002.0,70,41,9,Black,Gray
4790-1,Alpha Team Robot Diver,4.0,4.0,68.8,Action/Adventure,2002.0,35,25,10,Black,Transparent
4791-1,Alpha Team Sub-Surface Scooter,7.0,5.0,24.0,Action/Adventure,2002.0,46,34,7,Black,Yellow
4792-1,Alpha Team Navigator and ROV,10.0,9.0,41.4,Action/Adventure,2002.0,96,56,11,Black,Yellow
4793-1,Ogel Shark Sub,20.0,11.0,32.0,Action/Adventure,2002.0,115,61,8,Black,Gray
4794-1,Alpha Team Command Sub,30.0,18.0,25.2,Action/Adventure,2002.0,192,82,11,Black,Yellow
4795-1,Ogel Underwater Base and AT Sub,50.0,34.0,23.0,Action/Adventure,2002.0,489,140,16,Black,Red
4796-1,Ogel Mutant Squid,10.0,12.0,27.0,Action/Adventure,2002.0,66,38,8,Black,Gray
4797-1,Ogel Mutant Killer Whale,10.0,11.0,28.0,Action/Adventure,2002.0,66,41,7,Black,Gray
4798-1,Evil Ogel Attack,3.0,4.0,18.0,Action/Adventure,2002.0,21,18,7,Black,Red
4799-1,Ogel Drone Octopus,3.0,2.0,12.0,Action/Adventure,2002.0,20,15,5,Black,Transparent
4800-1,AT Jet Sub,3.0,3.0,8.0,Action/Adventure,2002.0,23,18,8,Black,Yellow
6636-1,Command Post Central,65.0,44.0,3.0,Modern day,2002.0,309,155,12,Black,White
6731-1,Skateboarding Pepper,4.0,3.0,27.0,Racing,2002.0,14,12,8,Black,Gray
6732-1,Brickster's Trike,4.0,3.0,21.0,Racing,2002.0,20,17,9,Black,Blue
6733-1,Snap's Cruiser,4.0,1.0,15.2,Racing,2002.0,19,14,7,Yellow,Yellow
6734-1,Beach Cruisers,7.0,8.0,12.0,Racing,2002.0,58,40,12,Black,Red
6735-1,Air Chase,10.0,12.0,25.799999999999997,Racing,2002.0,87,58,12,Black,White
6736-1,Beach Lookout,13.0,8.0,38.4,Racing,2002.0,91,58,10,Black,Gray
6737-1,Wake Rider,13.0,8.0,8.0,Racing,2002.0,93,57,11,Black,White
6738-1,Skateboard Challenge,20.0,27.0,48.0,Racing,2002.0,117,61,15,Gray,Black
6739-1,Truck & Stunt Trikes,30.0,30.0,21.0,Racing,2002.0,198,88,13,Black,Gray
6740-1,Xtreme Tower,50.0,25.0,38.699999999999996,Racing,2002.0,338,171,19,Black,Gray
6762-1,Fort Legoredo,100.0,176.0,44.1,Historical,2002.0,692,171,14,Brown,Black
6763-1,Rapid River Village,70.0,116.0,14.100000000000001,Historical,2002.0,357,137,12,Black,Gray
6764-1,Sheriff's Lock-Up,30.0,45.0,15.0,Historical,2002.0,181,103,14,Black,Gray
7103-1,Jedi Duel,10.0,20.0,193.60000000000002,Licensed,2002.0,83,59,15,Gray,Gray
7113-1,Tusken Raider Encounter,10.0,18.0,157.5,Licensed,2002.0,97,60,13,Tan,Gray
7119-1,Twin-Pod Cloud Car,10.0,14.0,88.0,Licensed,2002.0,120,48,8,Red,Gray
7133-1,Bounty Hunter Pursuit,30.0,61.0,78.19999999999999,Licensed,2002.0,261,140,23,Green,Gray
7139-1,Ewok Attack,13.0,25.0,118.80000000000001,Licensed,2002.0,126,78,10,Brown,Black
7142-1,X-wing Fighter,30.0,50.0,8.0,Licensed,2002.0,274,118,14,Gray,Gray
7143-1,Jedi Starfighter,20.0,21.0,126.0,Licensed,2002.0,140,86,14,Black,White
7152-1,TIE Fighter & Y-wing,50.0,96.0,12.899999999999999,Licensed,2002.0,411,132,12,Gray,Gray
7153-1,Jango Fett's Slave I,50.0,115.0,147.2,Licensed,2002.0,366,146,16,Gray,Black
7163-1,Republic Gunship,90.0,188.0,150.4,Licensed,2002.0,711,237,23,White,Gray
